_id,ltable_Length_ft,ltable_make_model,ltable_seller,ltable_location,ltable_year,ltable_price_US,ltable_hull_material,rtable_Length_ft,rtable_make_model,rtable_seller,rtable_location,rtable_year,rtable_price_US,rtable_hull_material
31158,28,Formula.280 Bowrider,Formula Boats,"Naples, Florida",2005,49900,Fiberglass,28,Formula 280 Bowrider,"Formula Boats
   ","Naples, FL",2005,49900,Fiberglass
31318,28,Four Winns.274 Funship Bowrider,Glencove Marina,"Lake Ozark, Missouri",2006,29900,Fiberglass,28,Four Winns 274 Funship Bowrider,"Glencove Marina
   ","Lake Ozark, MO",2006,29900,Fiberglass
31849,28,Sea Ray.270 SLX,Bond Boats Florida Yacht Brokers,"Melbourne, Florida",2011,67900,Fiberglass,28,Sea Ray 270 SLX,"Bond Boats Florida Yacht Brokers
   ","Melbourne, FL",2011,67900,Fiberglass
32512,28,Mastercraft.280 STS - Fresh Water (JSS),Great Lakes Yacht Brokers,"Skiatook, Oklahoma",2006,50000,Fiberglass,28,Mastercraft 280 STS - Fresh Water (JSS),"Great Lakes Yacht Brokers
   ","Skiatook, OK",2006,50000,Fiberglass
33354,28,Larson.LXi 288,"Easy Sale USA, LLC","Miami, Florida",2012,72000,Fiberglass,28,Larson LXi 288,"Easy Sale
   ","Miami, FL",2012,72000,Fiberglass
34224,28,Sea Ray.SLX 280,MarineMax Dallas,"Lewisville, Texas",2017,Request Price,Fiberglass,28,Sea Ray SLX 280,"MarineMax Inc.
   ","Lewisville, TX",2017,Call for Price,Fiberglass
34229,28,Sea Ray.SLX 280,MarineMax Dallas,"Lewisville, Texas",2017,Request Price,Fiberglass,28,Sea Ray SLX 280,"MarineMax Inc.
   ","Lewisville, TX",2017,Call for Price,Fiberglass
34405,28,Sea Ray.SLX 280,MarineMax Norwalk,"Norwalk, Connecticut",2017,Request Price,Fiberglass,28,Sea Ray SLX 280,"MarineMax Inc.
   ","Norwalk, CT",2017,Call for Price,Fiberglass
34560,28,Sea Ray.SLX 280,MarineMax Dallas,"Lewisville, Texas",2017,Request Price,Fiberglass,28,Sea Ray SLX 280,"MarineMax Inc.
   ","Lewisville, TX",2017,Call for Price,Fiberglass
34565,28,Sea Ray.SLX 280,MarineMax Dallas,"Lewisville, Texas",2017,Request Price,Fiberglass,28,Sea Ray SLX 280,"MarineMax Inc.
   ","Lewisville, TX",2017,Call for Price,Fiberglass
34745,28,Sea Ray.SLX 280,MarineMax Long Island,"Lindenhurst, New York",2017,Request Price,Fiberglass,28,Sea Ray SLX 280,"MarineMax Inc.
   ","Lindenhurst, NY",2017,Call for Price,Fiberglass
34906,28,Sea Ray.SLX 280,MarineMax Sarasota,"Sarasota, Florida",2017,Request Price,Fiberglass,28,Sea Ray SLX 280,"MarineMax Inc.
   ","Sarasota, FL",2017,Call for Price,Fiberglass
34912,28,Sea Ray.SLX 280,MarineMax Sarasota,"Sarasota, Florida",2017,Request Price,Fiberglass,28,Sea Ray SLX 280,"MarineMax Inc.
   ","Sarasota, FL",2017,Call for Price,Fiberglass
35063,28,Sea Ray.SLX 280,MarineMax Orlando,"Orlando, Florida",2017,Request Price,Fiberglass,28,Sea Ray SLX 280,"MarineMax Inc.
   ","Orlando, FL",2017,Call for Price,Fiberglass
35233,28,Sea Ray.SLX 280,MarineMax Brick,"Brick, New Jersey",2017,Request Price,Fiberglass,28,Sea Ray SLX 280,"MarineMax Inc.
   ","Brick, NJ",2017,Call for Price,Fiberglass
35406,28,Sea Ray.SLX 280,MarineMax Baltimore,"Baltimore, Maryland",2017,Request Price,Fiberglass,28,Sea Ray SLX 280,"MarineMax Inc.
   ","Baltimore, MD",2017,Call for Price,Fiberglass
35571,28,Sea Ray.SLX 280,MarineMax Grand Lake,"Afton, Oklahoma",2017,Request Price,Fiberglass,28,Sea Ray SLX 280,"MarineMax Inc.
   ","Afton, OK",2017,Call for Price,Fiberglass
35751,28,Sea Ray.SLX 280,MarineMax Branson,"Branson, Missouri",2017,Request Price,Fiberglass,28,Sea Ray SLX 280,"MarineMax Inc.
   ","Branson, MO",2017,Call for Price,Fiberglass
35908,28,Sea Ray.SLX 280,MarineMax Port Clinton,"Port Clinton, Ohio",2017,Request Price,Fiberglass,28,Sea Ray SLX 280,"MarineMax Inc.
   ","Port Clinton, OH",2017,Call for Price,Fiberglass
36083,28,Sea Ray.SLX 280,MarineMax Venice,"Venice, Florida",2017,Request Price,Fiberglass,28,Sea Ray SLX 280,"MarineMax Inc.
   ","Venice, FL",2017,Call for Price,Fiberglass
36410,28,Sea Ray.SLX 280,MarineMax Cumming,"Cumming, Georgia",2017,Request Price,Fiberglass,28,Sea Ray SLX 280,"MarineMax Inc.
   ","Cumming, GA",2017,Call for Price,Fiberglass
36586,28,Sea Ray.SLX 280,MarineMax Sarasota,"Sarasota, Florida",2017,Request Price,Fiberglass,28,Sea Ray SLX 280,"MarineMax Inc.
   ","Sarasota, FL",2017,Call for Price,Fiberglass
36592,28,Sea Ray.SLX 280,MarineMax Sarasota,"Sarasota, Florida",2017,Request Price,Fiberglass,28,Sea Ray SLX 280,"MarineMax Inc.
   ","Sarasota, FL",2017,Call for Price,Fiberglass
36763,28,Sea Ray.SLX 280,MarineMax Clearwater,"Clearwater, Florida",2017,Request Price,Fiberglass,28,Sea Ray SLX 280,"MarineMax Inc.
   ","Clearwater, FL",2017,Call for Price,Fiberglass
36897,28,Sea Ray.280 SLX,MarineMax Dallas,"Lewisville, Texas",2016,Request Price,Fiberglass,28,Sea Ray 280 SLX,"MarineMax Inc.
   ","Lewisville, TX",2016,Call for Price,Fiberglass
37059,28,Sea Ray.280 Sundeck,MarineMax Warwick,"Warwick, Rhode Island",2014,99900,Fiberglass,28,Sea Ray 280 Sundeck,"MarineMax Inc.
   ","Warwick, RI",2014,99900,Fiberglass
37232,28,Sea Ray.280 SLX,MarineMax Russo Danvers,"Danvers, Massachusetts",2016,Request Price,Fiberglass,28,Sea Ray 280 SLX,"MarineMax Inc.
   ","Danvers, MA",2016,Call for Price,Fiberglass
37399,28,Sea Ray.280 SLX,MarineMax Lake Hopatcong,"Lake Hopatcong, New Jersey",2016,Request Price,Fiberglass,28,Sea Ray 280 SLX,"MarineMax Inc.
   ","Lake Hopatcong, NJ",2016,Call for Price,Fiberglass
37571,28,Sea Ray.280 SLX,MarineMax Naples,"Naples, Florida",2016,Request Price,Fiberglass,28,Sea Ray 280 SLX,"MarineMax Inc.
   ","Naples, FL",2016,Call for Price,Fiberglass
38074,28,Sea Ray.280 SELECT,MarineMax Sarasota,"Sarasota, Florida",2016,152250,Fiberglass,28,Sea Ray 280 SELECT,"MarineMax Inc.
   ","Sarasota, FL",2016,152250,Fiberglass
38268,28,Sea Ray.SLX 280,Irish Boat Shop - Harbor Springs,"Northern, Michigan",2017,Request Price,Fiberglass,28,Sea Ray SLX 280,"Irish Boat Shop
   ","Northern, MI",2017,Call for Price,Fiberglass
38420,28,Sea Ray.280 Sundeck,MarineMax Naples,"Naples, Florida",2011,62500,Fiberglass,28,Sea Ray 280 Sundeck,"MarineMax Inc.
   ","Naples, FL",2011,62500,Fiberglass
38574,28,Sea Ray.280 SLX,MarineMax Buford,"Buford, Georgia",2016,Request Price,Fiberglass,28,Sea Ray 280 SLX,"MarineMax Inc.
   ","Buford, GA",2016,Call for Price,Fiberglass
38740,28,Sea Ray.280 SLX,MarineMax Grand Lake,"Afton, Oklahoma",2016,Request Price,Fiberglass,28,Sea Ray 280 SLX,"MarineMax Inc.
   ","Afton, OK",2016,Call for Price,Fiberglass
38920,28,Sea Ray.280 Sundeck,MarineMax Naples,"Naples, Florida",2013,59000,Fiberglass,28,Sea Ray 280 Sundeck,"MarineMax Inc.
   ","Naples, FL",2013,59000,Fiberglass
39093,28,Sea Ray.280 Sundeck,MarineMax Orlando,"Orlando, Florida",2011,54900,Fiberglass,28,Sea Ray 280 Sundeck,"MarineMax Inc.
   ","Orlando, FL",2011,54900,Fiberglass
40076,28,Sea Ray.280 Bow Rider,South River Yacht Sales Inc.,"Harrison Township, Michigan",2000,29900,Fiberglass,28,Sea Ray 280 Bow Rider,"South River Yacht Sales Inc.
   ","Harrison Township, MI",2000,29900,Fiberglass
40745,28,Sea Ray.280 Bow Rider,Cape Regal Yachts & Ship,"Fort Myers Cape Coral Naples, Florida",1997,19400,Fiberglass,28,Sea Ray 280 Bow Rider,"Cape Regal Yachts & Ship
   ","Fort Myers Cape Coral Naples, FL",1997,19400,Fiberglass
40915,28,Sea Ray.280 Bow Rider,East Shore Marine,"Long Island, New York",2001,26000,Fiberglass,28,Sea Ray 280 Bow Rider,"East Shore Marine
   ","Long Island, NY",2001,26000,Fiberglass
41103,28,Sea Ray.280 Sundeck,MarineMax Lake Hopatcong,"Lake Hopatcong, New Jersey",2010,59995,Fiberglass,28,Sea Ray 280 Sundeck,"MarineMax Inc.
   ","Lake Hopatcong, NJ",2010,59995,Fiberglass
41424,28,Sea Ray.280 Bowrider,Green Turtle Bay Yacht Sales,"Grand Rivers, Kentucky",1997,39900,Fiberglass,28,Sea Ray 280 Bowrider,"Green Turtle Bay Yacht Sales
   ","Grand Rivers, KY",1997,39900,Fiberglass
41577,28,Regal.2700 Regal,Sheltered Cove Marina,United States,2017,Request Price,Fiberglass,28,Regal 2800,"Sheltered Cove Marina
   ","Tuckerton, United States",2017,Call for Price,Fiberglass
41580,28,Regal.2700 Regal,Sheltered Cove Marina,United States,2017,Request Price,Fiberglass,28,Regal 2700,"Sheltered Cove Marina
   ",United States,2017,,Fiberglass
42431,28,Regal.2800 Bowrider,Sundance Jensen,"Stuart/Jensen Beach, Florida",2017,Request Price,Fiberglass,28,Regal 2800 Bowrider,"Sundance Marine USA
   ","Stuart/Jensen Beach, FL",2017,,Fiberglass
43263,28,Regal.2800 Bowrider,Alexander Marine USA Inc,"Seattle, Washington",2017,Request Price,Fiberglass,28,Regal 2800 Bowrider,"Alexander Marine USA Inc
   ","Seattle, WA",2017,Call for Price,Fiberglass
43946,28,Regal.2800 Bowrider,Sundance Jensen,"Jensen Beach , Florida",2016,Request Price,Fiberglass,28,Regal 2800 Bowrider,"Sundance Marine USA
   ","Jensen Beach , FL",2016,Call for Price,Fiberglass
44782,28,Rinker.282 Captiva Bowrider,Bluewater Yacht Sales-Baltimore Office,"Ocean City, Maryland",2007,29500,Fiberglass,28,Rinker 282 Captiva Bowrider,"Bluewater Yacht Sales
   ","Ocean City, MD",2007,29500,Fiberglass
45509,28,Chris-Craft.Launch 28,Saba Marine,"Colchester, Vermont",2016,179900,Fiberglass,28,Chris-Craft Launch 28,"Saba Marine
   ","Colchester, VT",2016,179900,Fiberglass
