_id,ltable_index,rtable_index,ltable_Length_ft,ltable_make_model,ltable_seller,ltable_location,ltable_year,rtable_Length_ft,rtable_Make_Model,rtable_seller,rtable_location,rtable_year
21213,809,586,28,Chris-Craft.Launch 28,Harborside Yacht Sales,"Clinton, Connecticut",2010,28,Chris-Craft Launch 28,"Harborside Marina
   ","Clinton, CT",2010
21378,810,583,28,Chris-Craft.Launch 28,Bayport Yachts,"Newport Beach, California",2007,28,Chris-Craft Launch 28,"Bayport Yachts
   ","Newport Beach, CA",2007
21550,811,587,28,Chris-Craft.Launch 28,Shangri-La Marina,"afton, Oklahoma",2013,28,Chris-Craft Launch 28,"Shangri-La Marina
   ","afton, OK",2013
21711,812,580,28,Chris-Craft.Launch 28,Grande Yachts International - Deerfield,"Deerfield Beach, Florida",2016,28,Chris-Craft 28 LAUNCH,"Grande Yachts International
   ","Deerfield Beach, FL",2016
21893,813,594,28,Chris-Craft.Launch 28,Viage Group,"Sarasota, Florida",2016,28,Chris-Craft Launch 28,"Viage Group
   ","Sarasota, FL",2016
22064,814,597,28,Chris-Craft.Launch 28,Barrier Island Marine,"Charleston, South Carolina",2016,28,Chris-Craft Launch 28,"Barrier Island Marine
   ","Charleston, SC",2016
22196,815,561,28,Chris-Craft.Launch 28,Harborside Yacht Sales,"Clinton, Connecticut",2016,28,Chris Craft Launch 28,"Harborside Marina
   ","Clinton, CT",2016
22548,817,577,28,Chris-Craft.Launch 28,Grande Yachts International - Dania Beach,"Dania Beach, Florida",2017,28,Chris-Craft Launch 28,"Grande Yachts International
   ","Dania Beach, FL",2017
22715,818,576,28,Chris-Craft.Launch 28,North Point Yacht Sales,"Annapolis, Maryland",2004,28,Chris Craft Launch 28,"North Point Yacht Sales
   ","Annapolis, MD",2004
22880,819,573,28,Chris-Craft.Launch 28,Denison Yacht Sales - Palm Beach,"Lake Vermilion, Minnesota",2006,28,Chris-Craft 28 LAUNCH,"Dallas Boat Sales
   ","Lewisville Lake, TX",2006
22889,819,582,28,Chris-Craft.Launch 28,Denison Yacht Sales - Palm Beach,"Lake Vermilion, Minnesota",2006,28,Chris-Craft Launch 28,"Denison Yacht Sales
   ","Lake Vermilion, MN",2006
23048,820,573,28,Chris-Craft.Launch 28,Dallas Boat Sales,"Lewisville Lake, Texas",2006,28,Chris-Craft 28 LAUNCH,"Dallas Boat Sales
   ","Lewisville Lake, TX",2006
23057,820,582,28,Chris-Craft.Launch 28,Dallas Boat Sales,"Lewisville Lake, Texas",2006,28,Chris-Craft Launch 28,"Denison Yacht Sales
   ","Lake Vermilion, MN",2006
