_id,ltable_index,rtable_index,ltable_Length_ft,ltable_make_model,ltable_seller,ltable_location,ltable_year,rtable_Length_ft,rtable_Make_Model,rtable_seller,rtable_location,rtable_year
752459,6094,2967,21,Scarab.215 HO,MarineMax Somers Point,"Somers Point, New Jersey",2014,21,Scarab 215 HO,"MarineMax Inc.
   ","Somers Point, NJ",2014
755058,6100,3082,21,Starcraft.210 SCX OB,National Powerboats,"Jacksonville, Florida",2014,21,Starcraft 210 SCX OB,"National Powerboats
   ","Jacksonville, FL",2014
756310,6103,3092,21,Starcraft.210 SCX,B.L.M. Yacht Sales / Fall River,"portsmouth , Rhode Island",2015,21,Starcraft 210 SCX,"B.L.M. Yacht Sales Ltd.
   ","portsmouth , RI",2015
760443,6113,3085,21,Stingray.214 LR,Sundance Marine USA,"Fort Lauderdale, Florida",2017,21,Stingray 214 LR,"Sundance Marine USA
   ","Fort Lauderdale, FL",2017
760455,6113,3097,21,Stingray.214 LR,Sundance Marine USA,"Fort Lauderdale, Florida",2017,21,Stingray 214 LR,"Sundance Marine USA
   ","Fort Lauderdale, FL",2017
760857,6114,3085,21,Stingray.214 LR,Sundance Marine USA,"Fort Lauderdale, Florida",2017,21,Stingray 214 LR,"Sundance Marine USA
   ","Fort Lauderdale, FL",2017
760869,6114,3097,21,Stingray.214 LR,Sundance Marine USA,"Fort Lauderdale, Florida",2017,21,Stingray 214 LR,"Sundance Marine USA
   ","Fort Lauderdale, FL",2017
761272,6115,3086,21,Stingray.214 LR,Sundance Marine USA,"Miami, Florida",2017,21,Stingray 214 LR,"Sundance Marine USA
   ","Miami, FL",2017
762093,6117,3079,21,Stingray.214 LR,Sundance Jensen,"Jensen Beach, Florida",2017,21,Stingray 214 LR,"Sundance Marine USA
   ","Jensen Beach, FL",2017
763344,6120,3088,21,Stingray.212 SC,Sundance Marine USA,"Fort Lauderdale, Florida",2017,21,Stingray 212 SC,"Sundance Marine USA
   ","Fort Lauderdale, FL",2017
764164,6122,3080,21,Stingray.212 SC,Sundance Jensen,"Jensen Beach, Florida",2017,21,Stingray 212 SC,"Sundance Marine USA
   ","Jensen Beach, FL",2017
766663,6128,3095,21,Supra.Launch 21,Sea Ray of Cincinnati,"Cincinnati, Ohio",2004,21,Supra Launch 21,"Sea Ray of Cincinnati
   ","Cincinnati, OH",2004
772051,6141,3101,21,Supra.21 Launch,Sea Ray of Cincinnati,"Cincinnati, Ohio",1999,21,Supra 21 Launch,"Sea Ray of Cincinnati
   ","Cincinnati, OH",1999
774528,6147,3094,21,Wellcraft.210 Sportsman,"All Seasons Marine Works, Inc","Westport, Connecticut",2009,21,Wellcraft 210 Sportsman,"All Seasons Marine Works, Inc
   ","Westport, CT",2009
775360,6149,3098,21,Wellcraft.210 Sportsman,Seaport Yacht Sales,"Toms River, New Jersey",1998,21,Wellcraft 210 Sportsman,"Seaport Yacht Sales
   ","Toms River, NJ",1998
776595,6152,3091,21,Tidewater Boats.210 LXF,Blue Marlin Boats,"Seaford, New York",2016,21,Tidewater 210 LXF,"Blue Marlin Boats
   ","Seaford, NY",2016
795249,6197,3115,21,Chaparral.210 Suncoast,Waterfront Marine-Maryland,"Edgewater, Maryland",2017,21,Chaparral 210 Suncoast,"Waterfront Marine Yacht Sales-New Jersey
   ","Edgewater, MD",2017
796495,6200,3119,21,Chaparral.210 Suncoast 181B,Longshore Boats,"Charleston, South Carolina",2016,21,Chaparral 210 Suncoast 181B,"Longshore Boats
   ","Charleston, SC",2016
798971,6206,3111,21,Chaparral.210 Suncoast,Waterfront Marine Yacht Sales,"SOMERS POINT, New Jersey",2017,21,Chaparral 210 Suncoast,"Waterfront Marine Yacht Sales-New Jersey
   ","SOMERS POINT, NJ",2017
798972,6206,3112,21,Chaparral.210 Suncoast,Waterfront Marine Yacht Sales,"SOMERS POINT, New Jersey",2017,21,Chaparral 210 Suncoast,"Waterfront Marine Yacht Sales-New Jersey
   ","SOMERS POINT, NJ",2017
799385,6207,3111,21,Chaparral.210 Suncoast,Waterfront Marine Yacht Sales,"SOMERS POINT, New Jersey",2017,21,Chaparral 210 Suncoast,"Waterfront Marine Yacht Sales-New Jersey
   ","SOMERS POINT, NJ",2017
799386,6207,3112,21,Chaparral.210 Suncoast,Waterfront Marine Yacht Sales,"SOMERS POINT, New Jersey",2017,21,Chaparral 210 Suncoast,"Waterfront Marine Yacht Sales-New Jersey
   ","SOMERS POINT, NJ",2017
799798,6208,3110,21,Chaparral.210 Suncoast,A & S Boats,"South Windsor, Connecticut",2017,21,Chaparral 210 Suncoast,"A & S Boats
   ","South Windsor, CT",2017
803941,6218,3113,21,Chaparral.210 Suncoast,Waterfront Marine Yacht Sales,"Somers Point, New Jersey",2016,21,Chaparral 210 Suncoast,"Waterfront Marine Yacht Sales-New Jersey
   ","Somers Point, NJ",2016
803944,6218,3116,21,Chaparral.210 Suncoast,Waterfront Marine Yacht Sales,"Somers Point, New Jersey",2016,21,Chaparral 210 Suncoast,"Waterfront Marine Yacht Sales-New Jersey
   ","SOMERS POINT, NJ",2016
804355,6219,3113,21,Chaparral.210 Suncoast,Waterfront Marine Yacht Sales,"SOMERS POINT, New Jersey",2016,21,Chaparral 210 Suncoast,"Waterfront Marine Yacht Sales-New Jersey
   ","Somers Point, NJ",2016
804358,6219,3116,21,Chaparral.210 Suncoast,Waterfront Marine Yacht Sales,"SOMERS POINT, New Jersey",2016,21,Chaparral 210 Suncoast,"Waterfront Marine Yacht Sales-New Jersey
   ","SOMERS POINT, NJ",2016
804788,6220,3132,21,Chaparral.210 Suncoast Bowrider,Sunrise Marine,"Mary Esther, Florida",2016,21,Chaparral 210 Suncoast Bowrider,"Sunrise Marine - Boat Sales, Service & Parts
   ","Mary Esther, FL",2016
807261,6226,3121,21,Scout.210 Dorado,"SEVEN SEAS YACHT SALES, INC.","Ft. Laudedale, Florida",2016,21,Scout 210 Dorado,"SEVEN SEAS YACHT SALES, INC.
   ","Ft. Laudedale, FL",2016
808507,6229,3125,21,Robalo.207 Dual Console Bowrider,Sunrise Marine,"Fort Walton Beach, Florida",2016,21,Robalo 207 Dual Console Bowrider,"Sunrise Marine - Boat Sales, Service & Parts
   ","Fort Walton Beach, FL",2016
811408,6236,3128,21,Four Winns.H210SS,Boulder Boats,"Henderson, Nevada",2008,21,Four Winns H210SS,"Boulder Boats
   ","Henderson, NV",2008
813075,6240,3139,21,Monterey.218 Super Sport SE,"Ugly John's Custom Boats, LLC.","Catoosa, Oklahoma",2016,21,Monterey 218 Super Sport SE,"Ugly John's Custom Boats, LLC.
   ","Catoosa, OK",2016
817202,6250,3126,21,Stingray.208 LR,"Your New Boat, LLC","Norris Lake, Tennessee",2011,21,Stingray 208 LR,"Your New Boat.com
   ","Norris Lake, TN",2011
818447,6253,3129,21,Stingray.208 LR,The Nautic Group,"kemah, Texas",2014,21,Stingray 208 LR,"The Nautic Group
   ","kemah, TX",2014
819687,6256,3127,21,Stingray.208 LR,A & S Boats,United States,2011,21,Stingray 208 LR,"A & S Boats
   ",United States,2011
822603,6263,3145,21,Bayliner.210 Deck Boat,The Advantaged Yacht Charters and Sales,"Miami, Florida",2013,21,Bayliner 210 Deck Boat,"The Advantaged Yacht Charters and Sales
   ","Miami, FL",2013
823847,6266,3147,21,Edgewater.205CX 033L,Longshore Boats,United States,2015,21,Edgewater 205CX 033L,"Longshore Boats
   ",United States,2015
824260,6267,3146,21,Bayliner.210 Deck Boat,Harbor View Marine,"Pensacola, Fl / Orange Beach, Alabama",2017,21,Robalo 206 Cayman Bay Boat,"Sunrise Marine - Boat Sales, Service & Parts
   ","Mary Esther, FL",2017
825088,6269,3146,21,Robalo.206 Cayman Bay Boat,Sunrise Marine,"Mary Esther, Florida",2017,21,Robalo 206 Cayman Bay Boat,"Sunrise Marine - Boat Sales, Service & Parts
   ","Mary Esther, FL",2017
825505,6270,3149,21,Robalo.R200 Center Console,The Nautic Group,"Kemah / Houston, Texas",2017,21,Robalo R200 Center Console,"The Nautic Group
   ","Kemah / Houston, TX",2017
825517,6270,3162,21,Robalo.R200 Center Console,The Nautic Group,"Kemah / Houston, Texas",2017,21,Robalo R207 Dual Console,"The Nautic Group
   ","Kemah / Houston, TX",2017
825921,6271,3151,21,Robalo.R207 Dual Console,Waterfront Marine Yacht Sales,"Somers Point, New Jersey",2017,21,Robalo R207 Dual Console,"Waterfront Marine Yacht Sales-New Jersey
   ","Somers Point, NJ",2017
825923,6271,3153,21,Robalo.R207 Dual Console,Waterfront Marine Yacht Sales,"Somers Point, New Jersey",2017,21,Robalo R207 Dual Console,"Waterfront Marine Yacht Sales-New Jersey
   ","SOMERS POINT, United States",2017
826321,6272,3137,21,Monterey.217 Blackfin,North Florida Yacht Sales,"Jacksonville, Florida",2017,21,Monterey 217 Blackfin,"North Florida Yacht Sales
   ","Jacksonville, FL",2017
826754,6273,3156,21,Robalo.R207 Dual Console,The Nautic Group,"Kemah/Houston, Texas",2017,21,Robalo R207 Dual Console,"The Nautic Group
   ","Kemah/Houston, TX",2017
826757,6273,3160,21,Robalo.R207 Dual Console,The Nautic Group,"Kemah/Houston, Texas",2017,21,Robalo R207 Dual Console,"The Nautic Group
   ","Kemah/Houston, TX",2017
827161,6274,3149,21,Robalo.R207 Dual Console,The Nautic Group,"Kemah / Houston, Texas",2017,21,Robalo R200 Center Console,"The Nautic Group
   ","Kemah / Houston, TX",2017
827173,6274,3162,21,Robalo.R207 Dual Console,The Nautic Group,"Kemah / Houston, Texas",2017,21,Robalo R207 Dual Console,"The Nautic Group
   ","Kemah / Houston, TX",2017
827992,6276,3152,21,Robalo.R207 Dual Console,Tilly's Marine - Norco,"NORCO, California",2017,21,Robalo R207 Dual Console,"Tilly's Marine
   ","NORCO, CA",2017
828404,6277,3150,21,Robalo.R207 Dual Console,Great Bay Marine- Islip Terrace,"Islip Terrace , New York",2016,21,Robalo R207 Dual Console,"Great Bay Marine- Islip Terrace
   ","Islip Terrace , NY",2016
828824,6278,3156,21,Robalo.R207 Dual Console,The Nautic Group,"Kemah/Houston, Texas",2017,21,Robalo R207 Dual Console,"The Nautic Group
   ","Kemah/Houston, TX",2017
828827,6278,3160,21,Robalo.R207 Dual Console,The Nautic Group,"Kemah/Houston, Texas",2017,21,Robalo R207 Dual Console,"The Nautic Group
   ","Kemah/Houston, TX",2017
829233,6279,3151,21,Robalo.R207 Dual Console,Waterfront Marine Yacht Sales,SOMERS POINT,2017,21,Robalo R207 Dual Console,"Waterfront Marine Yacht Sales-New Jersey
   ","Somers Point, NJ",2017
829235,6279,3153,21,Robalo.R207 Dual Console,Waterfront Marine Yacht Sales,SOMERS POINT,2017,21,Robalo R207 Dual Console,"Waterfront Marine Yacht Sales-New Jersey
   ","SOMERS POINT, United States",2017
829651,6280,3155,21,Robalo.R207 Dual Console,Tilly's Marine - Ventura,"Ventura, California",2017,21,Robalo R207 Dual Console,"Tilly's Marine
   ","Ventura, CA",2017
830064,6281,3154,21,Robalo.R207 Dual Console,Waterfront Marine-Maryland,"Edgewater, Maryland",2017,21,Robalo R207 Dual Console,"Waterfront Marine Yacht Sales-New Jersey
   ","Edgewater, MD",2017
832519,6287,3125,21,Robalo.R207 Dual Console,Fish Tale Sales And Service,"Fort Myers Beach, Florida",2016,21,Robalo 207 Dual Console Bowrider,"Sunrise Marine - Boat Sales, Service & Parts
   ","Fort Walton Beach, FL",2016
834630,6292,3170,21,Crownline.Eclipse E1,"Stone Harbor Yacht Sales - Stone Harbor, NJ","Stone Harbor, New Jersey",2017,21,Crownline Eclipse E1,"Stone Harbor Yacht Sales
   ","Stone Harbor, NJ",2017
843736,6314,3166,21,Larson.Senza 206,North Shore Sales,"Spring Lake, Michigan",2007,21,Larson Senza 206,"North Shore Sales
   ","Spring Lake, MI",2007
845388,6318,3161,21,Southwind.212 SD,The Advantaged Yacht Charters and Sales,"Miami, Florida",2012,21,SouthWind 212 SD,"The Advantaged Yacht Charters and Sales
   ","Miami, FL",2012
849645,2373,1515,24,Chaparral.244 Sunesta,A & S Boats,"South Windsor, Connecticut",2016,24,Chaparral 244 Sunesta,"A & S Boats
   ","South Windsor, CT",2016
851050,2377,1523,24,Chaparral.Sunesta 244,"Pickwick Yacht Brokers, LLC",Pickwick Lake,2012,24,Chaparral Sunesta 244,"Pickwick Yacht Brokers, LLC
   ","Pickwick Lake, United States",2012
852906,2392,1514,24,Four Winns.SL242,Anchorage Yacht Sales,"Zeeland, Michigan",2013,24,Four Winns SL242,"Anchorage Yacht Sales
   ","Zeeland, MI",2013
854770,2396,1514,24,Four Winns.SL242,Anchorage Yacht Sales,"Zeeland, Michigan",2013,24,Four Winns SL242,"Anchorage Yacht Sales
   ","Zeeland, MI",2013
855717,2398,1530,24,Chaparral.244 Sunesta,"Fay's Boat Yard, Inc.","Gilford, New Hampshire",2017,24,Chaparral 244 Sunesta,"Fay's Boat Yard, Inc.
   ","Gilford, NH",2017
858029,2403,1506,24,Scout.245 Dorado,"SEVEN SEAS YACHT SALES, INC.","Ft. Lauderdale, Florida",2016,24,Scout 245 Dorado,"SEVEN SEAS YACHT SALES, INC.
   ","Ft. Lauderdale, FL",2016
858966,2405,1516,24,Chaparral.244 Sunesta,Tilly's Marine - Ventura,"Ventura, California",2017,24,Chaparral 244 Sunesta,"Tilly's Marine
   ","Ventura, CA",2017
859433,2406,1517,24,Chaparral.244 Sunesta,Great Lakes Yacht Sales / Suncoast Yacht Sales / Chris Craft TB,"Kenosha, Wisconsin",2010,24,Chaparral 244 Sunesta,"Great Lakes Yacht Sales / Suncoast Yacht Sales / Chris Craft TB
   ","Kenosha, WI",2010
860833,2409,1520,24,Chaparral.244 Sunesta,"Fay's Boat Yard, Inc.","Gilford, New Hampshire",2011,24,Chaparral 244 Sunesta,"Fay's Boat Yard, Inc.
   ","Gilford, NH",2011
861769,2411,1524,24,Chaparral.244 Sunesta,Pier 33,"St. Joseph, Michigan",2013,24,Chaparral 244 Sunesta,"Pier 33
   ","St. Joseph, MI",2013
868783,2426,1548,24,Regal.24 Fasdeck,Sheltered Cove Marina,"Tuckerton, New Jersey",2017,24,Regal 24 FasDeck,"Sheltered Cove Marina
   ","Tuckerton, NJ",2017
871099,2431,1534,24,Chaparral.243 Vortex VRX,Waterfront Marine Yacht Sales,"Somers Point, New Jersey",2015,24,Chaparral 243 Vortex VRX,"Waterfront Marine Yacht Sales-New Jersey
   ","Somers Point, NJ",2015
871558,2432,1527,24,Chaparral.243 Vortex VR,Waterfront Marine Yacht Sales,"Edgewater, Maryland",2016,24,Chaparral 243 Vortex VR,"Waterfront Marine Yacht Sales-New Jersey
   ","Edgewater, MD",2016
872492,2434,1529,24,Chaparral.Vortex 243 VR,Sunrise Marine,"Fort Walton Beach, Florida",2016,24,Chaparral Vortex 243 VR,"Sunrise Marine - Boat Sales, Service & Parts
   ","Fort Walton Beach, FL",2016
874832,2439,1539,24,Regal.24 Fasdeck,AM PM MARINE,"Pasadena, Maryland",2016,24,Regal 24 FasDeck RX,"AM PM MARINE
   ","Pasadena, MD",2016
874834,2439,1541,24,Regal.24 Fasdeck,AM PM MARINE,"Pasadena, Maryland",2016,24,Regal 24 FasDeck,"AM PM MARINE
   ","Pasadena, MD",2016
875762,2441,1537,24,Nautic Star.243 DC Deck Boat,North Florida Yacht Sales,"Jacksonville, Florida",2017,24,NAUTIC STAR 243 DC Deck Boat,"North Florida Yacht Sales
   ","Jacksonville, FL",2017
878098,2446,1543,24,Regal.24 Fasdeck,Strong's Marine,United States,2013,24,Regal 24 FasDeck,"Strong's Marine
   ",United States,2013
880890,2452,1539,24,Regal.24 FasDeck RX,AM PM MARINE,"Pasadena, Maryland",2016,24,Regal 24 FasDeck RX,"AM PM MARINE
   ","Pasadena, MD",2016
880892,2452,1541,24,Regal.24 FasDeck RX,AM PM MARINE,"Pasadena, Maryland",2016,24,Regal 24 FasDeck,"AM PM MARINE
   ","Pasadena, MD",2016
881067,2452,1716,24,Regal.24 FasDeck RX,AM PM MARINE,"Pasadena, Maryland",2016,24,Regal 2300 RX Bowrider,"AM PM MARINE
   ","Pasadena, MD",2016
881832,2454,1549,24,Sea Ray.240 Sundeck,Strong's Marine,"MATTITUCK, New York",2012,24,Sea Ray 240 Sundeck,"Strong's Marine
   ","MATTITUCK, NY",2012
882296,2455,1547,24,Sea Ray.240 Sundeck,Myrtle Beach Yacht Sales,"Myrtle Beach, South Carolina",2012,24,Sea Ray 240 Sundeck,"Myrtle Beach Yacht Sales
   ","Myrtle Beach, SC",2012
882768,2456,1553,24,Sea Ray.240 Sundeck,Fox Chapel Marine,"Pittsburgh, Pennsylvania",2012,24,Sea Ray 240 Sundeck,"Fox Chapel Marine
   ","Pittsburgh, PA",2012
883692,2458,1545,24,Sea Ray.240 Sundeck,Hall Marine Group-Sea Ray of Savannah,United States,2012,24,Sea Ray 240 Sundeck,"Hall Marine Group
   ",United States,2012
884630,2460,1551,24,Sea Ray.240 Sundeck,"Stone Harbor Yacht Sales - Stone Harbor, NJ",Stone Harbor,2013,24,Sea Ray 240 Sundeck,"Stone Harbor Yacht Sales
   ","Stone Harbor, United States",2013
885099,2461,1554,24,Sea Ray.240 Sundeck,Hall Marine Group-Sea Ray of Columbia,United States,2011,24,Sea Ray 240 Sundeck,"Hall Marine Group
   ",United States,2011
886495,2464,1552,24,Chaparral.236 SSi,Magnum Marine,"Hampstead, North Carolina",2007,24,Chaparral 236 SSi,"Magnum Marine
   ","Hampstead, NC",2007
887473,2466,1598,24,Chris Craft 240.Bowrider,Sundance Boat Sales,"Pasadena, Maryland",2000,24,Chris Craft 240 Bowrider,"Sundance Boat Sales, Inc.
   ","Pasadena, MD",2000
896763,2486,1568,24,Bayliner.245 Bowrider,E Yachting,"Gloucester, Virginia",2004,24,Bayliner 245 Bowrider,"E Yachting
   ","Gloucester, VA",2004
897703,2488,1576,24, Axopar.24 HT,Nautical Ventures,"South Florida , Florida",2016,24,Axopar 24 HT,"Nautical Ventures
   ","South Florida , FL",2016
898167,2489,1574,24, Axopar.24 O,Nautical Ventures,"South Florida, Florida",2016,24,Axopar 24 O,"Nautical Ventures
   ","South Florida, FL",2016
899096,2491,1571,24, Axopar.24 TT,Nautical Ventures,"South Florida, Florida",2016,24,Axopar 24 TT,"Nautical Ventures
   ","South Florida, FL",2016
904215,2502,1564,24,Bayliner.245 Bowrider,"Baltimore Boating Center, LLC","Baltimore/Essex, Maryland",2007,24,Bayliner 245 Bowrider,"Baltimore Boating Center, LLC
   ","Baltimore/Essex, MD",2007
908889,2512,1578,24,Blue Wave.2400 Pure Bay,MarineMax Gulf Shores,"Gulf Shores, Alabama",2009,24,Blue Wave 2400 Pure Bay,"MarineMax Inc.
   ","Gulf Shores, AL",2009
910752,2516,1577,24,Bayliner.249 Sun Deck,Dominion Yachts,"Woodbridge, Virginia",2005,24,Bayliner 249 Sun Deck,"Dominion Yachts
   ","Woodbridge, VA",2005
915590,2526,1755,24,Scout Boats.245 Dorado,Beacon Point Marine,"Cos Cob , Connecticut",2014,24,Scout Boats 245 Dorado,"Beacon Point Marine
   ","Cos Cob , CT",2014
916985,2529,1752,24,Scout Boats.245 Dorado,Viage Group,"St. Petersburg, Florida",2016,24,Scout Boats 245 Dorado,"Viage Group
   ","St. Petersburg, FL",2016
917595,2530,1897,24,Vip.242 Deckliner,MarineMax Lake Conroe,"Montgomery, Texas",2005,24,VIP BOATS 242 DECKLINER,"MarineMax Inc.
   ","Montgomery, TX",2005
927112,2551,1627,24,Cobalt.R3WSS Surf,Village Marina & Yacht Club,United States,2017,24,COBALT BOATS R3WSS Surf,"Village Marina & Yacht Club
   ",United States,2017
927531,2552,1580,24,Caravelle Boats.242 Bow Rider,Marina Delray Yacht Sales,"Delray Beach, Florida",2004,24,Caravelle 242 LS Bow Rider,"Marina Delray Yacht Sales
   ","Delray Beach, FL",2004
933118,2564,1575,24,Caravelle Boats.242LS Bow Rider,Ocean Beach Marine Centers (Lavallette),"Lavallette, New Jersey",2008,24,Caravelle 242LS Bow Rider,"Ocean Beach Marine Centers
   ","Lavallette, NJ",2008
936390,2571,1585,24,Chaparral.240 SSi,Bay View Yacht Sales,"Chesapeake City, Maryland",2000,24,Chaparral 240 SSi,"Bay View Yacht Sales
   ","Chesapeake City, MD",2000
937321,2573,1584,24,Chaparral.244 Sunesta 107G,Longshore Boats,"Charleston, South Carolina",2017,24,Chaparral 244 Sunesta 107G,"Longshore Boats
   ","Charleston, SC",2017
937327,2573,1590,24,Chaparral.244 Sunesta 107G,Longshore Boats,"Charleston, South Carolina",2017,24,Chaparral 244 Sunesta 108G,"Longshore Boats
   ","Charleston, SC",2017
940117,2579,1584,24,Chaparral.244 Sunesta 108G,Longshore Boats,"Charleston, South Carolina",2017,24,Chaparral 244 Sunesta 107G,"Longshore Boats
   ","Charleston, SC",2017
940123,2579,1590,24,Chaparral.244 Sunesta 108G,Longshore Boats,"Charleston, South Carolina",2017,24,Chaparral 244 Sunesta 108G,"Longshore Boats
   ","Charleston, SC",2017
942450,2584,1587,24,Chaparral.244 Sunesta,Waterfront Marine Yacht Sales,"Somers Point, New Jersey",2016,24,Chaparral 244 Sunesta,"Waterfront Marine Yacht Sales-New Jersey
   ","Somers Point, NJ",2016
942922,2585,1593,24,Chaparral.244 Sunesta,Comstock Yacht Sales & Marina,"Brick, New Jersey",2008,24,Chaparral 244 Sunesta,"Comstock Yacht Sales & Marina
   ","Brick, NJ",2008
943390,2586,1595,24,Chaparral.244 Sunesta,COMPLETE MARINE,"Pompano Beach, Florida",2014,24,Chaparral 244 Sunesta,"COMPLETE MARINE
   ","Pompano Beach, FL",2014
943847,2587,1586,24,Chaparral.244 Sunesta,Tilly's Marine,"Huntington Beach, California",2016,24,Chaparral 244 Sunesta,"Tilly's Marine
   ","Huntington Beach, CA",2016
945256,2590,1597,24,Chaparral.Sunesta 243,"Thomas Frauenheim, Inc.","Edgewater, Maryland",2002,24,Chaparral Sunesta 243,"Thomas Frauenheim, Inc.
   ","Edgewater, MD",2002
945716,2591,1591,24,Chaparral.243 Vortex VRX,Amity Harbor Marine Inc,"Amityville, New York",2015,24,Chaparral 243 Vortex VRX,"Amity Harbor Marine Inc
   ","Amityville, NY",2015
946658,2593,1601,24,Chaparral.243 Sunesta,"Dave D'Onofrio Yacht Sales, LLC.","St Ignace, Michigan",2003,24,Chaparral 243 Sunesta,"Dave D'Onofrio Yacht Sales, LLC.
   ","St Ignace, MI",2003
947592,2595,1603,24,Chaparral.246 SSi,"Twin City Marine, Inc.","Central Falls, Rhode Island",2017,24,Chaparral 246 SSi,"Twin City Marine, Inc.
   ","Central Falls, RI",2017
949918,2600,1599,24,Chaparral.246 SCI,Blue Marlin Boats,"Seaford, New York",2006,24,Chaparral 246 SCI,"Blue Marlin Boats
   ","Seaford, NY",2006
950395,2601,1610,24,Chaparral.246 SSi,Manatee Pocket Yacht Sales,"Stuart, Florida",2011,24,Chaparral 246 SSi,"Manatee Pocket Yacht Sales
   ","Stuart, FL",2011
952707,2606,1592,24,Chaparral.246 SSi,Anchor Marine,"Farmingdale, New Jersey",2016,24,Chaparral 246 SSi,"Anchor Marine
   ","Farmingdale, NJ",2016
953188,2607,1607,24,Chaparral.246 SSi,Pennybridge Marine,"Stony Point, New York",2016,24,Chaparral 246 SSi,"Pennybridge Marine
   ","Stony Point, NY",2016
956447,2614,1604,24,Cobalt.24 Sx Bowrider,"Prestige Yacht Sales, Inc.","Brick, New Jersey",2005,24,Cobalt 24 SX,"Prestige Yacht Sales, Inc.
   ","Brick, NJ",2005
956903,2615,1594,24,Cobalt.24 Bow Rider,COMPLETE MARINE,"Pompano Beach, Florida",2002,24,Cobalt 24 Bow Rider,"COMPLETE MARINE
   ","Pompano Beach, FL",2002
962506,2627,1605,24,Cobalt.242 Bowrider,"Marine Sales of Pickwick, LLC","Counce, Tennessee",2014,24,Cobalt 242 Bowrider,"Marine Sales of Pickwick, LLC
   ","Counce, TN",2014
963442,2629,1609,24,Cobalt.240 Open Bow,Pettingill Yachts,"NEWPORT BEACH, California",2003,24,Cobalt 240 Open Bow,"Pettingill Yachts
   ","NEWPORT BEACH, CA",2003
973251,2650,1632,24,Crownline.240EX Deck Boat,Sea Ray of Cincinnati,"Cincinnati, Ohio",2011,24,Crownline 240EX Deck Boat,"Sea Ray of Cincinnati
   ","Cincinnati, OH",2011
973715,2651,1630,24,Crownline.E4 XS,"Stone Harbor Yacht Sales - Stone Harbor, NJ","Stone Harbor, New Jersey",2017,24,Crownline E4 XS,"Stone Harbor Yacht Sales
   ","Stone Harbor, NJ",2017
978847,2662,1636,24,Edgewater.248 CX,Bosun Marine,"Peabody, Massachusetts",2017,24,Edgewater 248 CX,"Bosun Marine
   ","Peabody, MA",2017
978855,2662,1644,24,Edgewater.248 CX,Bosun Marine,"Peabody, Massachusetts",2017,24,Edgewater 248 CX,"Bosun Marine
   ","Peabody, MA",2017
979314,2663,1637,24,Edgewater.248 CX,Bosun Marine,"On Order, Massachusetts",2017,24,Edgewater 248 CX,"Bosun Marine
   ","On Order, MA",2017
979317,2663,1640,24,Edgewater.248 CX,Bosun Marine,"On Order, Massachusetts",2017,24,Edgewater 248 CX,"Bosun Marine
   ","On Order, MA",2017
979318,2663,1641,24,Edgewater.248 CX,Bosun Marine,"On Order, Massachusetts",2017,24,Edgewater 248 CX,"Bosun Marine
   ","On Order, MA",2017
979780,2664,1637,24,Edgewater.248 CX,Bosun Marine,"On Order, Massachusetts",2017,24,Edgewater 248 CX,"Bosun Marine
   ","On Order, MA",2017
979783,2664,1640,24,Edgewater.248 CX,Bosun Marine,"On Order, Massachusetts",2017,24,Edgewater 248 CX,"Bosun Marine
   ","On Order, MA",2017
979784,2664,1641,24,Edgewater.248 CX,Bosun Marine,"On Order, Massachusetts",2017,24,Edgewater 248 CX,"Bosun Marine
   ","On Order, MA",2017
980251,2665,1642,24,Edgewater.248 CX,Bosun Marine,"Mashpee, Massachusetts",2017,24,Edgewater 248 CX,"Bosun Marine
   ","Mashpee, MA",2017
980255,2665,1646,24,Edgewater.248 CX,Bosun Marine,"Mashpee, Massachusetts",2017,24,Edgewater 248 CX,"Bosun Marine
   ","Mashpee, MA",2017
980717,2666,1642,24,Edgewater.248 CX,Bosun Marine,"Mashpee, Massachusetts",2017,24,Edgewater 248 CX,"Bosun Marine
   ","Mashpee, MA",2017
980721,2666,1646,24,Edgewater.248 CX,Bosun Marine,"Mashpee, Massachusetts",2017,24,Edgewater 248 CX,"Bosun Marine
   ","Mashpee, MA",2017
981178,2667,1637,24,Edgewater.248 CX,Bosun Marine,"On Order, Massachusetts",2017,24,Edgewater 248 CX,"Bosun Marine
   ","On Order, MA",2017
981181,2667,1640,24,Edgewater.248 CX,Bosun Marine,"On Order, Massachusetts",2017,24,Edgewater 248 CX,"Bosun Marine
   ","On Order, MA",2017
981182,2667,1641,24,Edgewater.248 CX,Bosun Marine,"On Order, Massachusetts",2017,24,Edgewater 248 CX,"Bosun Marine
   ","On Order, MA",2017
981643,2668,1636,24,Edgewater.248 CX,Bosun Marine,"Peabody, Massachusetts",2017,24,Edgewater 248 CX,"Bosun Marine
   ","Peabody, MA",2017
981651,2668,1644,24,Edgewater.248 CX,Bosun Marine,"Peabody, Massachusetts",2017,24,Edgewater 248 CX,"Bosun Marine
   ","Peabody, MA",2017
982567,2670,1628,24,Crownline.Eclipse E4,Coral Bay Marina Yacht Sales & Service,United States,2012,24,Crownline Eclipse E4,"Coral Bay Marina Yacht Sales & Service
   ",United States,2012
983030,2671,1625,24,Ebbtide.2400 Mystique w/trailer,Image Boats,"lake, Nevada",2003,24,Ebbtide 2400 Mystique w/trailer,"Image Boats
   ","lake, NV",2003
