index,used,power,price_US,year,class,hull_material,seller,Length_ft,location,make_model,
1625,yes,yes,34900,2008,Bowrider,Fiberglass,POP Yachts,26,"Tarpon Springs, Florida",Four Winns.260 Horizon,
1626,yes,yes,67900,2015,Bowrider,Fiberglass,Sport Boats USA,26,"Ozark, Missouri",Four Winns.260 Horizon,
1627,yes,yes,Request Price,2016,Bowrider,Fiberglass,Hawk's Yachts Annapolis Office,26,"Edgewater, Maryland",Four Winns.260 Horizon,
1628,yes,yes,34900,2000,Bowrider,Fiberglass,Chattanooga Office,26,"Chattanooga, Tennessee",Formula.260 Bowrider w/Trailer,
1629,yes,yes,32900,2003,Bowrider,Composite,Power Yachts International,26,"Cape coral, Florida",Formula.260 Bowrider,
1630,yes,yes,44750,2004,Bowrider,Fiberglass,Schooner Yachts LLC,26,"North Miami, Florida",Formula.260 Bowrider,
1631,yes,yes,29900,2004,Bowrider,Fiberglass,Comstock Yacht Sales & Marina,26,"Brick, New Jersey",Formula.260 Bowrider,
1632,yes,yes,29900,2006,Bowrider,Fiberglass,Futrell Marine,26,"Nashville, Arkansas",Four Winns.260 Horizon,
1633,yes,yes,26999,2007,Bowrider,Fiberglass,Compass Consignments LLC,26,"Palmetto, Florida",Four Winns.260 Horizon,
1634,yes,yes,38500,2007,Bowrider,Fiberglass,Danversport Marina,26,"Danvers, Massachusetts",Four Winns.260 Horizon,
1635,yes,yes,32900,2005,Bowrider,Fiberglass,Heartland Marine,26,"Sunrise Beach, Missouri",Four Winns.260 Horizon,
1636,yes,yes,34995,2007,Bowrider,Fiberglass,Village Marina & Yacht Club,26,United States,Four Winns.260,
1637,yes,yes,37500,2006,Bowrider,Fiberglass,Skipper Bud's Madison,26,"Madison, Wisconsin",Four Winns.260 Horizon,
1638,yes,yes,36900,2008,Bowrider,Other,Kelly's Port,26,"Osage Beach, Missouri",Four Winns.H260,
1639,yes,yes,42995,2008,Bowrider,Fiberglass,GT Marine & Outdoor,26,"Clermont, Florida",Four Winns.H260,
1640,yes,yes,Request Price,2008,Bowrider,Fiberglass,Austin Boats and Motors,26,"Austin, Texas",Four Winns.H260,
1641,yes,yes,49990,2008,Bowrider,Fiberglass,Five Star Marine Boats and Yachts,26,"Austin, Texas",Four Winns.H260,
1642,yes,yes,44995,2008,Bowrider,Fiberglass,Happy Days Boating,26,"Port Clinton, Ohio",Four Winns.H260,
1643,yes,yes,78400,2013,Bowrider,Other,POP Yachts,26,"Lindsay, Oklahoma",Four Winns.H260,
1644,yes,yes,38550,2009,Bowrider,Fiberglass,"Tampa Yacht Sales, INC",26,"Madeira Beach, Florida",Four Winns.H260,
1645,yes,yes,58500,2014,Bowrider,Fiberglass,Goodhue & Hawkins Navy Yard,26,United States,Four Winns.H260,
1646,yes,yes,Request Price,2016,Bowrider,Fiberglass,Anchor Boats,26,"North East, Maryland",Four Winns.Horizon H260,
1647,yes,yes,Request Price,2016,Bowrider,Fiberglass,Westchester Yacht Sales,26,"Mamaroneck, New York",Four Winns.H260,
1648,yes,yes,Request Price,2017,Bowrider,Fiberglass,Hawk's Yachts Annapolis Office,26,"EDGEWATER - LIBERTY MARINA, Maryland",Four Winns.H260SS,
1649,yes,yes,44904,2005,Bowrider,Fiberglass,WORLDWIDE YACHT SALES INC.,26,"Naples, Florida",Godfrey / Hurricane.26 SUNDECK TWIN 150 4 STROKE YAMAHAS,
1650,yes,yes,Request Price,2016,Bowrider,Fiberglass,Action Water Sports -- Traverse City,26,"Traverse City , Michigan",Four Winns.H260,
1651,yes,yes,34500,2007,Bowrider,Fiberglass,"Yacht Brokers, Inc. of Daytona",26,"Palm Coast/Daytona, Florida",Four Winns.H260,
1652,yes,yes,Request Price,2016,Bowrider,Fiberglass,Boater's Landing,26,"Fort Myers, Florida",Four Winns.H260,
1653,yes,yes,39900,2004,Bowrider,Fiberglass,Cobra Performance Boats,26,"Montclair, California",Kachina Boats.,
1654,yes,yes,53000,2007,Bowrider,Fiberglass,POP Yachts,26,"Tarpon Springs, Florida",Hurricane.26 Sun Deck,
1655,yes,yes,23000,2006,Bowrider,Fiberglass,POP Yachts,26,"Eucha, Oklahoma",Larson.LXi 268,
1656,yes,yes,Request Price,2015,Bowrider,Fiberglass,"Yarmouth Boat Yard, Inc.",26,United States,Hurricane.SD 2690 OB,
1657,yes,yes,33000,2007,Bowrider,Fiberglass,Robert Christopher Yacht Sales-Main Office,26,"JOSHUA, Texas",Larson.268LXI,
1658,yes,yes,21000,2005,Bowrider,Fiberglass,Foster Yacht Sales,26,"Edgewater, Maryland",Larson.268LXI,
1659,yes,yes,59900,2003,Bowrider,Fiberglass,MarineMax Clearwater,26,"Clearwater, Florida",Hydrasports.260 CENTER CONSOLE VECTOR,
1660,yes,yes,29995,2007,Bowrider,Fiberglass,American Boat Brokers,26,"Buford, Georgia",Larson.LXi 268,
1661,yes,yes,57900,2016,Bowrider,Fiberglass,Hideaway Yacht Sales,26,United States,Hurricane.2600,
1662,yes,yes,36900,2004,Bowrider,Fiberglass,Coastal Boat Sales Office,26,"Orange Beach, Alabama",Hurricane.260 SUNDECK,
1663,yes,yes,Request Price,2016,Bowrider,Fiberglass,Table Rock Boats,26,"Kimberling City, Missouri",Mastercraft.X26,
1664,yes,yes,Request Price,2016,Bowrider,Fiberglass,Marine Sales Kentuckiana,26,"GILBERTSVILLE, Kentucky",Mastercraft.X26,
1665,yes,yes,Request Price,2017,Bowrider,Fiberglass,Westhampton Beach Office,26,New York,Mastercraft.X26,
1666,yes,yes,Request Price,2017,Bowrider,Fiberglass,Table Rock Boats,26,"Shell Knob, Missouri",Mastercraft.X26,
1667,yes,yes,163899,2016,Bowrider,Fiberglass,Gordy's Lakefront Marine,26,"Fontana, Wisconsin",Mastercraft.X26,
1668,yes,yes,29995,2011,Bowrider,Aluminum,Castaway Marine,26,"Melbourne, Florida",Mariah.R26,
1669,yes,yes,Request Price,2016,Bowrider,Fiberglass,"Marine Sales of Pickwick, LLC",26,"COUNCE, Tennessee",Mastercraft.X26,
1670,yes,yes,Request Price,2017,Bowrider,Fiberglass,WWW.Pier53Marine.com,26,"Port Clinton, Ohio",Monterey.264FS,
1671,yes,yes,Request Price,2016,Bowrider,Fiberglass,Charlotte Ski Boats,26,"Mooresville, North Carolina",Mastercraft.X26,
1672,yes,yes,38900,2008,Bowrider,Fiberglass,Gage Marine,26,"Williams Bay, Wisconsin",Monterey.254 Fs,
1673,yes,yes,215360,2016,Bowrider,Fiberglass,Westhampton Beach Office,26,"Westhampton Beach , New York",Mastercraft.X26,
1674,yes,yes,59990,2014,Bowrider,Fiberglass,Nautical Ventures,26,"Dania beach, Florida",Monterey.264FS,
1675,yes,yes,49995,2012,Bowrider,Fiberglass,American Boat Brokers,26,"Buford, Georgia",Monterey.264 FS,
1676,yes,yes,Request Price,2016,Bowrider,Fiberglass,Marine Sales & Service,26,"Louisville, Kentucky",Monterey.264 FS,
1677,yes,yes,Request Price,2016,Bowrider,Fiberglass,Charlotte Ski Boats,26,"Mooresville, North Carolina",Mastercraft.X26,
1678,yes,yes,Request Price,2016,Bowrider,Fiberglass,Charlotte Ski Boats,26,"Mooresville, North Carolina",Mastercraft.X26,
1679,yes,yes,Request Price,2016,Bowrider,Fiberglass,American Boat Center,26,"Knoxville, Tennessee",Mastercraft.X26,
1680,yes,yes,Request Price,2016,Bowrider,Fiberglass,Charlotte Ski Boats,26,"Mooresville, North Carolina",Mastercraft.X26,
1681,yes,yes,Request Price,2016,Bowrider,Fiberglass,Cleveland Boat Center,26,"Cleveland, Tennessee",Mastercraft.X26,
1682,yes,yes,Request Price,2016,Bowrider,Fiberglass,Charlotte Ski Boats,26,"Mooresville, North Carolina",Mastercraft.X26,
1683,yes,yes,Request Price,2016,Bowrider,Fiberglass,American Boat Center,26,"Knoxville, Tennessee",Mastercraft.X26,
1684,yes,yes,53600,2014,Bowrider,Fiberglass,Bob Hewes Boats at Arch Creek Marina,26,"Miami Beach, Florida",Monterey.264FS,
1685,yes,yes,67500,2013,Bowrider,Fiberglass,Bay Side Yacht Sales LLC,26,"Eddyville, Kentucky",Monterey.264FS,
1686,yes,yes,Request Price,2016,Bowrider,Fiberglass,TriToon Town,26,"Osage Beach, Missouri",Monterey.M6,
1687,yes,yes,69995,2014,Bowrider,Other,Coty Marine-TOMS RIVER,26,"Toms River, New Jersey",Monterey.268SS,
1688,yes,yes,Request Price,2016,Bowrider,Fiberglass,TriToon Town,26,"Osage Beach, Missouri",Monterey.M6,
1689,yes,yes,28900,2003,Bowrider,Fiberglass,Manatee Pocket Yacht Sales,26,"Stuart, Florida",Monterey.268SS Sport Cruiser,
1690,yes,yes,13900,1995,Bowrider,Fiberglass,Heartland Marine,26,"Sunrise Beach, Missouri",Powerquest.257 Legend,
1691,yes,yes,Request Price,2017,Bowrider,Fiberglass,WWW.Pier53Marine.com,26,"Port Clinton, Ohio",Monterey.M6,
1692,yes,yes,39900,2004,Bowrider,Fiberglass,POP Yachts,26,"Amelia, Ohio",Monterey.268 Ss,
1693,yes,yes,26700,2006,Bowrider,Fiberglass,POP Yachts,26,"Bal Harbour, Florida",Monterey.Super Sport 268 SS,
1694,yes,yes,Request Price,2015,Bowrider,Fiberglass,Yankee Boating Center,26,"Lake George, New York",Monterey.268 Sc,
1695,yes,yes,59995,2013,Bowrider,Other,Coty Marine-TOMS RIVER,26,"Toms River, New Jersey",Monterey.264FSX,
1696,yes,yes,32999,2005,Bowrider,Fiberglass,Park Marine Boating Centers,26,"Gainesville, Georgia",Monterey.268 Super Sport,
1697,yes,yes,Request Price,2015,Bowrider,Fiberglass,"Ugly John's Custom Boats, LLC.",26,"Catoosa, Oklahoma",Monterey.264FSX,
1698,yes,yes,Request Price,2017,Bowrider,Fiberglass,WWW.Pier53Marine.com,26,"Port Clinton, Ohio",Monterey.264FSX,
1699,yes,yes,Request Price,2016,Bowrider,Fiberglass,Walker's Yacht Sales,26,"Fort Myers, Florida",Pursuit.265 Dual Console Bowrider,
1700,yes,yes,Request Price,2016,Bowrider,Fiberglass,"Ocean Blue Yacht Sales, LLC.",26,"SE Florida, Florida",Pursuit.DC 265 Dual Console,
1701,yes,yes,Request Price,2016,Bowrider,Fiberglass,"Ocean Blue Yacht Sales, LLC.",26,"SE Florida, Florida",Pursuit.DC 265 Dual Console,
1702,yes,yes,16900,2005,Bowrider,Fiberglass,United Yacht Sales - Florida SE Coast,26,"Coconut Grove, Florida",Sea Ray.240 Sundeck,
1703,yes,yes,Request Price,2011,Bowrider,Fiberglass,Deep Creek Marina,26,"McHenry, Maryland",Sea Ray.250 SLX,
1704,yes,yes,Request Price,2016,Bowrider,Fiberglass,Deep Creek Marina,26,"McHenry, Maryland",Sea Ray.250 SLX,
1705,yes,yes,27750,2003,Bowrider,Other,POP Yachts,26,"Norman, Oklahoma",Sea Ray.240 Sundeck,
1706,yes,yes,18900,2001,Bowrider,Fiberglass,Pro Team Marine,26,"Sunrise Beach, Missouri",Sea Ray.240 Sundeck,
1707,yes,yes,59995,2012,Bowrider,Fiberglass,"Lowes Marine Sales, Inc.",26,"Naples, Florida",Sea Ray.250 SLX Executive 8.2 DTS,
1708,yes,yes,23000,2006,Bowrider,Fiberglass,POP Yachts,26,"Miami, Florida",Sea Ray.240 Sundeck,
1709,yes,yes,22500,2006,Bowrider,Fiberglass,POP Yachts,26,"Sunny Isles Beach, Florida",Sea Ray.240 Sundeck,
1710,yes,yes,36000,2007,Bowrider,Other,POP Yachts,26,"Lutz, Florida",Sea Ray.240 Sundeck,
1711,yes,yes,Request Price,2016,Bowrider,Fiberglass,"Bluewater Yacht Sales, Inc.",26,United States,Pursuit.DC265,
1712,yes,yes,49900,2005,Bowrider,Fiberglass,David McKenney,26,"North Kingstown, Rhode Island",Pursuit.2670 Center Console,
1713,yes,yes,45999,2008,Bowrider,Fiberglass,POP Yachts,26,"Tacoma, Washington",Sea Ray.240 Sundeck,
1714,yes,yes,94900,2011,Bowrider,Fiberglass,B.L.M. Yacht Sales / Fall River,26,"Barnstable, Massachusetts",Pursuit.265 DC,
1715,yes,yes,33500,2007,Bowrider,Fiberglass,POP Yachts,26,"Mandeville, Louisiana",Sea Ray.24 Sundeck 240 SD,
1716,yes,yes,105900,2011,Bowrider,Fiberglass,Strong's Marine,26,"MATTITUCK, New York",Pursuit.265 DC,
1717,yes,yes,69000,2010,Bowrider,Fiberglass,Lake Union Sea Ray,26,"Seattle, Washington",Sea Ray.250 SLX,
1718,yes,yes,53500,2012,Bowrider,Fiberglass,MarineMax Huntington,26,"Huntington, New York",Sea Ray.260 Sundeck,
1719,yes,yes,64900,2012,Bowrider,Fiberglass,MarineMax Houston,26,"Seabrook, Texas",Sea Ray.260 Sundeck,
1720,yes,yes,47900,2012,Bowrider,Fiberglass,COMPLETE MARINE,26,"Pompano Beach, Florida",Sea Ray.260 Sundeck,
1721,yes,yes,69900,2011,Bowrider,Fiberglass,"Blue Marlin Yachts, LLC",26,"Boynton Beach, Florida",Sea Ray.260 Sundeck,
1722,yes,yes,56592,2011,Bowrider,Fiberglass,MarineMax Clearwater,26,"Clearwater, Florida",Sea Ray.260 Sundeck,
1723,yes,yes,55720,2012,Bowrider,Fiberglass,MarineMax Wrightsville Beach,26,"Wrightsville Beach, North Carolina",Sea Ray.260 Sundeck,
1724,yes,yes,44900,2010,Bowrider,Fiberglass,MarineMax Sarasota,26,"Sarasota, Florida",Sea Ray.260 Sundeck,
1725,yes,yes,69900,2013,Bowrider,Fiberglass,Knot 10 Yacht Sales,26,"Kent Island, Maryland",Sea Ray.260 Sundeck,
1726,yes,yes,67900,2014,Bowrider,Fiberglass,"Prestige Yacht Sales, Inc.",26,"Beach Haven, New Jersey",Sea Ray.260 Sundeck,
1727,yes,yes,53900,2013,Bowrider,Fiberglass,MarineMax Clearwater,26,"Clearwater, Florida",Sea Ray.260 Sundeck,
1728,yes,yes,57900,2010,Bowrider,Fiberglass,B.L.M. Yacht Sales / Fall River,26,"East Providence, Rhode Island",Sea Ray.260 Sundeck,
1729,yes,yes,64900,2013,Bowrider,Fiberglass,Norwood Yacht Sales,26,"Danvers, Massachusetts",Sea Ray.Sundeck 260 Bow Rider,
1730,yes,yes,28900,2006,Bowrider,Other,POP Yachts,26,"Cape Coral, Florida",Sea Ray.26,
1731,yes,yes,54500,2010,Bowrider,Fiberglass,Knoxville Yacht Sales,26,"Rutledge, Tennessee",Sea Ray.260 Sundeck,
1732,yes,yes,Request Price,2014,Bowrider,Fiberglass,Erwin Marine Sales Huntsville,26,"HUNTSVILLE, Alabama",Sea Ray.260 Sundeck,
1733,yes,yes,41500,2010,Bowrider,Fiberglass,POP Yachts,26,"East Providence, Rhode Island",Sea Ray.260 Sundeck,
1734,yes,yes,39900,2008,Bowrider,Fiberglass,American Marine,26,"Venice, Florida",Sea Ray.260 Sundeck,
1735,yes,yes,35000,2008,Bowrider,Fiberglass,POP Yachts,26,"Virginia Beach, Virginia",Sea Ray.260 Sundeck,
1736,yes,yes,44995,2008,Bowrider,Fiberglass,Lakecrest Marine Sales,26,"New Baltimore, Michigan",Sea Ray.260 Sundeck,
1737,yes,yes,37500,2007,Bowrider,Fiberglass,MarineMax Somers Point,26,"Somers Point, New Jersey",Sea Ray.260 Sundeck,
1738,yes,yes,39000,2007,Bowrider,Fiberglass,MarineMax Huntington,26,"Huntington, New York",Sea Ray.260 Sundeck,
1739,yes,yes,48900,2010,Bowrider,Fiberglass,Marina Delray Yacht Sales,26,"DELRAY BEACH, Florida",Sea Ray.260 Sundeck,
1740,yes,yes,34900,2007,Bowrider,Fiberglass,"Lowes Marine Sales, Inc.",26,"Naples, Florida",Sea Ray.260 Sundeck,
1741,yes,yes,70200,2009,Bowrider,Other,POP Yachts,26,"Bulverde, Texas",Sea Ray.260,
1742,yes,yes,39000,2007,Bowrider,Fiberglass,POP Yachts,26,"Saint Petersburg, Florida",Sea Ray.260 Sundeck,
1743,yes,yes,34999,2007,Bowrider,Fiberglass,Denison Yacht Sales - Daytona Beach,26,"Daytona Beach , Florida",Sea Ray.260 Sundeck,
1744,yes,yes,37950,2007,Bowrider,Fiberglass,MarineMax Venice,26,"Venice, Florida",Sea Ray.260 Sundeck,
1745,yes,yes,64400,2009,Bowrider,Fiberglass,POP Yachts,26,"Toms River, New Jersey",Sea Ray.260 Sun Deck,
1746,yes,yes,30750,2008,Bowrider,Fiberglass,Exclusive Yacht Group,26,"Riviera Beach, Florida",Sea Ray.260 Sundeck,
1747,yes,yes,39995,2007,Bowrider,Fiberglass,MarineMax Lake Hopatcong,26,"Lake Hopatcong, New Jersey",Sea Ray.260 Sundeck,
1748,yes,yes,46500,2008,Bowrider,Fiberglass,MarineMax Port Clinton,26,"Port Clinton, Ohio",Sea Ray.260 Sundeck,
1749,yes,yes,29800,2007,Bowrider,Fiberglass,Westchester Yacht Sales,26,"St. James, New York",Sea Ray.260 Sundeck,
1750,yes,yes,37900,2008,Bowrider,Fiberglass,"United Yacht Sales - Florida, St. Petersburg Area",26,"St. Pete, Florida",Sea Ray.Sundeck,
1751,yes,yes,27700,2004,Bowrider,Fiberglass,POP Yachts,26,"Dania Beach, Florida",Sea Ray.270 Sundeck,
1752,yes,yes,Request Price,2017,Bowrider,Fiberglass,Anderson Boat Sales,26,"Waterford, Michigan",Regal.25 RX Bowrider,
1753,yes,yes,39995,2005,Bowrider,Fiberglass,POP Yachts,26,"Tarpon Springs, Florida",Sea Ray.270 Sundeck,
1754,yes,yes,29900,2007,Bowrider,Fiberglass,"Lowes Marine Sales, Inc.",26,"Marco Island, Florida",Regal.2400 Bowrider,
1755,yes,yes,Request Price,2017,Bowrider,Fiberglass,Grand Bay Marine,26,"Traverse City, Michigan",Regal.2500 RX,
1756,yes,yes,34397,2007,Bowrider,Fiberglass,Gregg Orr Marine,26,"Hot Springs, Arkansas",Regal.2400 Regal,
1757,yes,yes,17900,1997,Bowrider,Fiberglass,Seattle Boat Company in Bellevue-Newport  (New and Pre-Owned Boat Marina),26,"Bellevue, Washington",Sea Ray.260,
1758,yes,yes,20900,1998,Bowrider,Fiberglass,TriToon Town,26,"Osage Beach, Missouri",Sea Ray.260 Bow Rider,
1759,yes,yes,19900,1997,Bowrider,Fiberglass,"Pickwick Yacht Brokers, LLC",26,"Pickwick Lake, Tennessee",Sea Ray.260 Bow Rider,
1760,yes,yes,15500,1997,Bowrider,Fiberglass,POP Yachts,26,"Cape Coral, Florida",Sea Ray.260 BR,
1761,yes,yes,11900,1999,Bowrider,Fiberglass,POP Yachts,26,"Dania Beach, Florida",Sea Ray.260 Signature Select,
1762,yes,yes,23900,1999,Bowrider,Fiberglass,Saba Marine,26,"Colchester, Vermont",Sea Ray.260 BR SIGNATURE SELECT,
1763,yes,yes,24900,1997,Bowrider,Fiberglass,Executive Boat & Yacht Brokerage,26,"Salt Lake City, Utah",Sea Ray.260 Bowrider,
1764,yes,yes,24995,2001,Bowrider,Fiberglass,American Boat Brokers,26,"Buford, Georgia",Sea Ray.260 Signature,
1765,yes,yes,Request Price,2017,Bowrider,Fiberglass,Table Rock Boats,26,"Kimberling City, Missouri",Regal.2500 Regal,
1766,yes,yes,Request Price,2016,Bowrider,Fiberglass,Table Rock Boats,26,"Kimberling City, Missouri",Regal.2500 Bowrider,
1767,yes,yes,Request Price,2016,Bowrider,Fiberglass,Reed's Marine,26,"Chelan, Lake Chelan, Washington",Regal.2500 Bowrider,
1768,yes,yes,32995,2005,Bowrider,Fiberglass,Lake Cumberland Marine,26,"Somerset, Kentucky",Regal.2600 Open Bow,
1769,yes,yes,16000,2004,Bowrider,Fiberglass,Jacksonville Boat Sales,26,"Jacksonville Beach, Florida",Regal.2600 Regal,
1770,yes,yes,23000,2006,Bowrider,Fiberglass,Jacksonville Boat Sales,26,"Jacksonville Beach, Florida",Regal.2600 Regal,
1771,yes,yes,29900,2004,Bowrider,Fiberglass,MarineMax Port Clinton,26,"Port Clinton, Ohio",Regal.2600 Regal,
1772,yes,yes,Request Price,2016,Bowrider,Fiberglass,Table Rock Boats,26,"Kimberling City, Missouri",Regal.2500 Bowrider,
1773,yes,yes,Request Price,2016,Bowrider,Other,Hern Marine,26,"Fairfield, Ohio",Regal.2500 RX,
1774,yes,yes,103216,2016,Bowrider,Fiberglass,Wayzata Marine,26,"Wayzata, Minnesota",Regal.2500 Bowrider,
1775,yes,yes,Request Price,2016,Bowrider,Fiberglass,Grand Bay Marine,26,"Traverse City, Michigan",Regal.2500 Bowrider,
1776,yes,yes,Request Price,2017,Bowrider,Other,Phil Dill Boats,26,"Lewisville, Texas",Regal.2500 Regal,
1777,yes,yes,Request Price,2017,Bowrider,Fiberglass,Sheltered Cove Marina,26,"Tuckerton, New Jersey",Regal.2500 Regal,
1778,yes,yes,Request Price,2016,Bowrider,Other,Hern Marine,26,"Fairfield, Ohio",Regal.2500 RX,
1779,yes,yes,25997,2003,Bowrider,Fiberglass,WORLDWIDE YACHT SALES INC.,26,"Cape Coral, Florida",Regal.2600 LSR,
1780,yes,yes,27500,2003,Bowrider,Fiberglass,Irish Boat Shop - Harbor Springs,26,"Harbor Springs, Michigan",Regal.2600 LSR,
1781,yes,yes,54995,2016,Bowrider,Other,Lake Holiday Marina Inc,26,"Somonauk, Illinois",Rinker.Captiva 246 BR,
1782,yes,yes,28500,2006,Bowrider,Fiberglass,Grand Lake Boat Sales LLC,26,"Eucha, Oklahoma",Rinker.246 Captiva Bowrider,
1783,yes,yes,26700,2002,Bowrider,Fiberglass,POP Yachts,26,"Fort Worth, Texas",Rinker.Flotilla 26 Trimaran,
1784,yes,yes,49000,2012,Bowrider,Fiberglass,Clinton Marine,26,"Weldon, Illinois",Rinker.Captiva 246 BR,
1785,yes,yes,19900,1999,Bowrider,Fiberglass,Carpe Diem Yacht Sales,26,"Edgewater, Maryland",Rinker.266 Fiesta Vee,
1786,yes,yes,59995,2017,Bowrider,Fiberglass,R.C. Congel Auto & Boat Sales,26,"Cicero, New York",Rinker.QX-26,
1787,yes,yes,24997,2007,Bowrider,Fiberglass,Cast Off Yacht Sales,26,"Toms River, New Jersey",Rinker.262 Captiva Bowrider,
1788,yes,yes,31900,2005,Bowrider,Fiberglass,Great Southern Yacht Company,26,"PENSACOLA, Florida",Rinker.262 Captiva Bowrider,
1789,yes,yes,62900,2016,Bowrider,Fiberglass,Clinton Marine,26,"Weldon, Illinois",Rinker.Captiva 246 BR,
1790,yes,yes,57489,2015,Bowrider,Fiberglass,Happy Days Boating,26,"Port Clinton, Ohio",Rinker.Captiva 246 BR,
1791,yes,yes,Request Price,2016,Bowrider,Fiberglass,Annapolis Yacht Sales,26,"Annapolis, Maryland",VANQUISH.26 Dual Console,
1792,yes,yes,Request Price,2016,Bowrider,Fiberglass,Annapolis Yacht Sales,26,"Annapolis, Maryland",VANQUISH.26 Dual Console,
1793,yes,yes,28800,2003,Bowrider,Fiberglass,POP Yachts,26,"Oakland, Florida",Starcraft.Stardeck 254 DC,
1794,yes,yes,79999,2016,Bowrider,Fiberglass,New Orleans Powersports,26,"Kenner, Louisiana",Scarab.Wake edition 255 HO Impulse,
1795,yes,yes,Request Price,2017,Bowrider,Fiberglass,"East Side Marine, Inc",26,"Evansville, Indiana",Rinker.QX26 BR,
1796,yes,yes,79989,2017,Bowrider,Fiberglass,Kent's Harbor Inc.,26,"Liberty, Indiana",Rinker.QX26,
1797,yes,yes,62500,2011,Bowrider,Fiberglass,Boat Brokers LKN,26,"Mooresville, North Carolina",Cobalt.242,
1798,yes,yes,139900,2015,Bowrider,Fiberglass,East Coast Yacht Sales - RI,26,"Bourne, Massachusetts",VANQUISH.26 Dual Console,
1799,yes,yes,Request Price,2016,Bowrider,Fiberglass,Lake Viking Marine,26,"Gallatin, Missouri",Cobalt.R5,
1800,yes,yes,69300,2013,Bowrider,Fiberglass,Travis Marine,26,"Knoxville, Tennessee",Cobalt.242,
1801,yes,yes,12995,1996,Bowrider,Fiberglass,Nichols Marine- Monkey Island,26,"Monkey Island, Oklahoma",Wellcraft.2600S Eclipse,
1802,yes,yes,29995,2002,Bowrider,Fiberglass,"Yacht Brokers, Inc.",26,"Stillwater, Minnesota",Wellcraft.Excalibur Sport,
1803,yes,yes,65750,2012,Bowrider,Fiberglass,Lighthouse Harbor Marina,26,"LAKEWALLENPAUPACK, GREENTOWN, Pennsylvania",Monterey.M5 MSX Sport Boat,
1804,yes,yes,11900,1995,Bowrider,Fiberglass,"Indoor Boat Storage, Inc.",26,"Lester Prairie, Minnesota",Wellcraft.260,
1805,yes,yes,19995,2001,Bowrider,Fiberglass,Atlanta Marine,26,"Flowery Branch, Georgia",Wellcraft.Excalibur 260 Platinum,
1806,yes,yes,33990,2007,Bowrider,Fiberglass,Bridgeport Marine,26,"Stillwater, Minnesota",Tahoe.265,
1807,yes,yes,23800,2002,Bowrider,Fiberglass,POP Yachts,26,"Pinnacle, North Carolina",Wellcraft.Excalibur 260,
1808,yes,yes,Request Price,2016,Bowrider,Fiberglass,Monterey Boats,26,,Monterey.M6,
1809,yes,yes,64999,2011,Bowrider,Fiberglass,Patsys Bay Marina,26,"Stony Point, New York",Monterey.M5 Sport Boat,
1810,yes,yes,84136,2016,Bowrider,Fiberglass,Lighthouse Harbor Marina,26,"LAKE WALLENPAUPACK, Pennsylvania",Monterey.M6,
1811,yes,yes,Request Price,2017,Bowrider,Fiberglass,Cape Coral Marine Centre,26,"Cape Coral, Florida",Monterey.M6,
1812,yes,yes,Request Price,2016,Bowrider,Fiberglass,Glencove Marina,26,"Lake Ozark, Montana",Monterey.M6,
1813,yes,yes,Request Price,2016,Bowrider,Fiberglass,Lake Norman Marina,26,"Sherrills Ford, North Carolina",Cobalt.R5,
1814,yes,yes,Request Price,2017,Bowrider,Fiberglass,The Harbor On Table Rock Lake,26,"Branson, Missouri",Cobalt.R5,
1815,yes,yes,Request Price,2017,Bowrider,Fiberglass,Lake Norman Marina,26,"Sherrills Ford, North Carolina",Cobalt.R5,
1816,yes,yes,Request Price,2017,Bowrider,Fiberglass,East Coast Flightcraft Inc.-Middleton,26,"Middleton, Massachusetts",Cobalt.R5,
1817,yes,yes,Request Price,2017,Bowrider,Fiberglass,North Florida Yacht Sales,26,"Jacksonville, Florida",Monterey.M6,
1818,yes,yes,Request Price,2016,Bowrider,Fiberglass,Lake Viking Marine,26,"Gallatin, Missouri",Cobalt.R5,
1819,yes,yes,Request Price,2017,Bowrider,Fiberglass,East Coast Flightcraft Inc-Brookfield,26,"Brookfield, Connecticut",Cobalt.R5,
1820,yes,yes,Request Price,2016,Bowrider,Fiberglass,Village Marina & Yacht Club,26,United States,Cobalt.R5WSS,
1821,yes,yes,Request Price,2016,Bowrider,Fiberglass,Lake Viking Marine,26,"Gallatin, Missouri",Cobalt.R5WSS SURF,
1822,yes,yes,Request Price,2017,Bowrider,Fiberglass,"East Coast Flightcraft, Inc-Meredith",26,"Meredith, New Hampshire",Cobalt.R5,
1823,yes,yes,Request Price,2016,Bowrider,Fiberglass,Lake Norman Marina,26,"Sherrills Ford, North Carolina",Cobalt.R5,
1824,yes,yes,Request Price,2016,Bowrider,Fiberglass,Village Marina & Yacht Club,26,United States,Cobalt.R5 COBALT,
1825,yes,yes,118935,2017,Bowrider,Fiberglass,"Hoffmaster's Marina, Inc",26,"Woodbridge, Virginia",Cobalt.R5,
1826,yes,yes,143129,2017,Bowrider,Fiberglass,Singleton Marine at Lake Lanier,26,"Buford, Georgia",Cobalt.R5,
1827,yes,yes,Request Price,2017,Bowrider,Fiberglass,Lake Norman Marina,26,"Sherrills Ford, North Carolina",Cobalt.R5 WSS,
1828,yes,yes,156164,2017,Bowrider,Fiberglass,Singleton Marine at Lake Lanier,26,"Buford, Georgia",Cobalt.R5 WSS Surf,
