index,used,power,price_US,year,class,hull_material,seller,Length_ft,location,make_model,
3869,yes,yes,24000,2002,Bowrider,Fiberglass,POP Yachts,23,"Elkton, Maryland",Malibu.23 Sunsetter LXi,
3870,yes,yes,Request Price,2016,Bowrider,Fiberglass,Tilly's Marine - Norco,23,"Norco, California",Malibu.M235,
3871,yes,yes,32900,2004,Bowrider,Fiberglass,"East Coast Flightcraft, Inc-Meredith",23,"Meredith, New Hampshire",Malibu.Sunscape 23 LSV,
3872,yes,yes,32900,2004,Bowrider,Fiberglass,East Coast Flightcraft Inc.-Middleton,23,"Middleton, Massachusetts",Malibu.Sunscape 23 LSV,
3873,yes,yes,38500,2006,Bowrider,Fiberglass,Southtown Watersports,23,"Charlotte, North Carolina",Malibu.Wakesetter Lsv 23,
3874,yes,yes,33900,2004,Bowrider,Fiberglass,East Coast Flightcraft Inc-Brookfield,23,"Brookfield, Connecticut",Malibu.Sunscape 23 LSV,
3875,yes,yes,131786,2016,Bowrider,Fiberglass,Gordy's Lakefront Marine,23,"Fontana, Wisconsin",Mastercraft.X23,
3876,yes,yes,131262,2017,Bowrider,Fiberglass,Gordy's Lakefront Marine,23,"Fontana, Wisconsin",Mastercraft.XT23,
3877,yes,yes,134344,2017,Bowrider,Fiberglass,Gordy's Lakefront Marine,23,"Fontana, Wisconsin",Mastercraft.XT23,
3878,yes,yes,13900,2000,Bowrider,Fiberglass,Kingfisher Yacht Sales,23,"Clinton, Connecticut",Maxum.2300 SR,
3879,yes,yes,13995,1997,Bowrider,Fiberglass,American Marine,23,"Algona, Iowa",Maxum.230 BR,
3880,yes,yes,19900,2000,Bowrider,Fiberglass,Captain's Cove,23,"Cincinnati, Ohio",Maxum.2300 SR,
3881,yes,yes,11000,2002,Bowrider,Fiberglass,POP Yachts,23,"Brigantine, New Jersey",Maxum.2300 SR,
3882,yes,yes,19500,2001,Bowrider,Fiberglass,POP Yachts,23,"Flanders, New York",Maxum.2300 Scr,
3883,yes,yes,Request Price,2016,Bowrider,Fiberglass,Charlotte Ski Boats,23,"Mooresville, North Carolina",Mastercraft.X23,
3884,yes,yes,89999,2014,Bowrider,Fiberglass,"KAM Yacht Sales, LLC",23,"Bloomfield Hills, Michigan",Mastercraft.X30,
3885,yes,yes,18000,1995,Bowrider,Fiberglass,POP Yachts,23,"Prineville, Oregon",Maxum.2300 SR,
3886,yes,yes,Request Price,2016,Bowrider,Fiberglass,Marine Sales Kentuckiana,23,"GILBERTSVILLE, Kentucky",Mastercraft.X23,
3887,yes,yes,15000,1998,Bowrider,Fiberglass,POP Yachts,23,"Whitter, California",Maxum.2300 SR,
3888,yes,yes,9900,1999,Bowrider,Fiberglass,Boat America,23,"St. Petersburg, Florida",Maxum.2300 SR,
3889,yes,yes,3295,2000,Bowrider,Fiberglass,O'Neill's Marina Inc,23,"Largo, Florida",Maxum.2300,
3890,yes,yes,8900,1998,Bowrider,Fiberglass,Sundance Boat Sales,23,"Pasadena, Maryland",Maxum.2300 Scr,
3891,yes,yes,10900,2000,Bowrider,Fiberglass,Sterling Marina,23,"Greentown, Pennsylvania",Maxum.2300 SR,
3892,yes,yes,13995,1994,Bowrider,Fiberglass,Boulder Boats - Arizona,23,"Mesa, Arizona",Maxum.2300,
3893,yes,yes,52267,2016,Bowrider,Fiberglass,LMC Marine Center,23,"Houston, Texas",Monterey.218 SS,
3894,yes,yes,43000,2006,Bowrider,Fiberglass,POP Yachts,23,"Birmingham, Alabama",Mb Sports.B 52 V23,
3895,yes,yes,24990,2008,Bowrider,Fiberglass,Unlimited Marine,23,"Russell Springs, Kentucky",Monterey.214 Fs,
3896,yes,yes,32875,2005,Bowrider,Other,POP Yachts,23,"Santa Rosa, California",Mb Sports.B-52 V3 Team Edition,
3897,yes,yes,21000,2006,Bowrider,Fiberglass,POP Yachts,23,"Murrieta, California",Maxum.2400 SR3,
3898,yes,yes,46999,2008,Bowrider,Fiberglass,Hagadone Marine Group,23,"Coeur d'Alene, Idaho",MB Sport.B52,
3899,yes,yes,45500,2013,Bowrider,Fiberglass,United Yacht Sales - New Jersey,23,"Cape May, New Jersey",Monterey.234 SS,
3900,yes,yes,60454,2014,Bowrider,Fiberglass,"Ugly John's Custom Boats, LLC.",23,"Catoosa, Oklahoma",Monterey.234 Super Sport,
3901,yes,yes,9500,1997,Bowrider,Fiberglass,"Berry-Boger Yacht Sales, Inc.",23,"Charleston, South Carolina",Monterey.230 Explorer,
3902,yes,yes,5500,1995,Bowrider,Fiberglass,"Charleston, SC",23,"St. George, South Carolina",Monterey.230 EXP,
3903,yes,yes,43900,2013,Bowrider,Fiberglass,Table Rock Boats,23,"Kimberling City, Missouri",Monterey.224FSX,
3904,yes,yes,59999,2016,Bowrider,Fiberglass,River Valley Power & Sport - Red Wing,23,"Red Wing, Minnesota",Monterey.218SS-SE Roswell Wake Edition,
3905,yes,yes,18000,1998,Bowrider,Fiberglass,POP Yachts,23,"Cumming, Georgia",Monterey.230 Explorer,
3906,yes,yes,28250,2007,Bowrider,Fiberglass,Ocean Beach Marine Centers (Lavallette),23,"Lavallette, New Jersey",Monterey.234 Fs,
3907,yes,yes,29900,2006,Bowrider,Fiberglass,Heartland Marine,23,"Sunrise Beach, Missouri",Monterey.234,
3908,yes,yes,Request Price,2017,Bowrider,Fiberglass,North Florida Yacht Sales,23,"Jacksonville, Florida",Monterey.238 Super Sport,
3909,yes,yes,Request Price,2017,Bowrider,Fiberglass,C-Jam Yacht Sales,23,"Somers Point, New Jersey",Monterey.238 Super Sport,
3910,yes,yes,Request Price,2017,Bowrider,Fiberglass,WWW.Pier53Marine.com,23,"Port Clinton, Ohio",Monterey.238 Super Sport,
3911,yes,yes,Request Price,2017,Bowrider,Fiberglass,Irwin Marine,23,"Alton Bay, New Hampshire",Monterey.238 Super Sport,
3912,yes,yes,Request Price,2017,Bowrider,Fiberglass,Harbor View Marine,23,"Pensacola, FL / Orange Beach, Florida",Monterey.238 SS,
3913,yes,yes,Request Price,2017,Bowrider,Fiberglass,Irwin Marine,23,"Alton Bay, New Hampshire",Monterey.238 Super Sport,
3914,yes,yes,Request Price,2017,Bowrider,Fiberglass,Lodder's Marine,23,Ohio,Monterey.238 Super Sport,
3915,yes,yes,39500,2014,Bowrider,Fiberglass,Irwin Marine,23,"Alton Bay, New Hampshire",Monterey.235 SS,
3916,yes,yes,32900,2008,Bowrider,Fiberglass,Legend Marine Group,23,"Carrollton, Texas",Monterey.234FS,
3917,yes,yes,44995,2014,Bowrider,Other,Coty Marine-TOMS RIVER,23,"Toms River, New Jersey",Monterey.234SS,
3918,yes,yes,Request Price,2016,Bowrider,Fiberglass,Monterey Boats,23,,Monterey.238 Super Sport,
3919,yes,yes,58717,2016,Bowrider,Fiberglass,Southaven RV & Marine,23,"Southaven, Mississippi",Monterey.238 Super Sport,
3920,yes,yes,Request Price,2016,Bowrider,Fiberglass,Water Werks Boat,23,"Country Club Hills, Illinois",Monterey.238 SS,
3921,yes,yes,67990,2017,Bowrider,Fiberglass,Outpost Marine Group,23,"Holiday, Florida",Monterey.238 SS,
3922,yes,yes,Request Price,2017,Bowrider,Fiberglass,North Florida Yacht Sales,23,"Jacksonville, Florida",Monterey.238 Roswell Surf Edition,
3923,yes,yes,47900,2015,Bowrider,Fiberglass,Gainesville Marina & Boat Sales,23,"Gainesville, Georgia",Monterey.238 Super Sport,
3924,yes,yes,54900,2015,Bowrider,Fiberglass,Bills Bay Marina Inc.,23,"Red Wing, Minnesota",Monterey.238 SS,
3925,yes,yes,Request Price,2015,Bowrider,Fiberglass,South Austin Marine Corp,23,"Austin, Texas",Monterey.238 Super Sport,
3926,yes,yes,54999,2015,Bowrider,Fiberglass,Grand Pointe Marina,23,"Sterling Heights, Michigan",Monterey.238 Super Sport,
3927,yes,yes,49999,2015,Bowrider,Fiberglass,Grand Pointe Marina,23,"Lansing, Michigan",Monterey.238 Super Sport,
3928,yes,yes,Request Price,2016,Bowrider,Fiberglass,Marine Sales & Service,23,"Louisville, Kentucky",Monterey.238 Super Sport,
3929,yes,yes,80313,2016,Bowrider,Fiberglass,Southaven RV & Marine,23,"Southaven, Mississippi",Monterey.238 Super Sport Roswell Edition,
3930,yes,yes,79978,2016,Bowrider,Fiberglass,Dry Harbour Marine,23,United States,Monterey.238 Super Sport,
3931,yes,yes,53900,2015,Bowrider,Fiberglass,Marine Sales & Service,23,"Louisville, Kentucky",Monterey.238 Super Sport,
3932,yes,yes,74116,2016,Bowrider,Fiberglass,The Boat Dock,23,"Springfield, Illinois",Monterey.238 Super Sport,
3933,yes,yes,Request Price,2016,Bowrider,Fiberglass,TriToon Town,23,"Osage Beach, Missouri",Monterey.238 Roswell,
3934,yes,yes,53748,2016,Bowrider,Fiberglass,Highway Marine Service Inc.,23,"Quakertown,, Pennsylvania",Monterey.238SS,
3935,yes,yes,Request Price,2016,Bowrider,Fiberglass,Gage Marine,23,"Williams Bay, Wisconsin",Monterey.238SS,
3936,yes,yes,Request Price,2016,Bowrider,Fiberglass,Glencove Marina,23,"Lake Ozark, Missouri",Monterey.238SS,
3937,yes,yes,Request Price,2017,Bowrider,Fiberglass,Frontenac Harbor LLC,23,"Union Springs, New York",Monterey.238SS,
3938,yes,yes,62900,2016,Bowrider,Fiberglass,"Onekama Marine, Inc.",23,"Onekama, Michigan",Monterey.238 Super Sport,
3939,yes,yes,33500,2009,Bowrider,Fiberglass,Montauk Yacht Sales,23,"Long Island, New York",Monterey.,
3940,yes,yes,Request Price,2016,Bowrider,Fiberglass,Glencove Marina,23,Missouri,Monterey.238SS,
