index,used,power,price_US$,year,class,hull_material,seller,Length_ft,location,Make_Model
1009,yes,yes,62900,2011,Bowrider,Fiberglass,"Grand Bay Marine
   ",26,"Traverse City, MI",Regal 2500
1010,yes,yes,49000,2007,Bowrider,Fiberglass,"Simpson Marine Limited
   ",26,Hong Kong,Sea Ray 260 Sundeck
1011,yes,yes,44000,2012,Bowrider,Fiberglass,"Backwater Marine & Yacht Brokerage Inc
   ",26,"FL, United States",Sea Ray 260 Sundeck
1012,yes,yes,79700,2016,Bowrider,Fiberglass,"Jackson Marine Sales
   ",26,"North East, United States",Regal 2500 Bowrider
1013,yes,yes,48001,2011,Bowrider,Fiberglass,"WORLDWIDE YACHT SALES INC.
   ",26,"Daina, FL",Sea Ray 260 Sundeck
1014,yes,yes,54500,2011,Bowrider,Fiberglass,"Winter Harbor L.L.C.
   ",26,"Brewerton, NY",Sea Ray 260 Sundeck
1015,yes,yes,Call for Price,2016,Bowrider,Fiberglass,"Iron Wind Marine
   ",26,"Halifax, NS",Regal 2500 Bowrider
1016,yes,yes,118250,2017,Bowrider,Fiberglass,"Basa's Marine
   ",26,"Bolingbrook, IL",Regal 2500 Bowrider
1017,yes,yes,77794,2014,Bowrider,Fiberglass,"AM PM MARINE
   ",26,"Pasadena, MD",Regal 2500 Bowrider
1018,yes,yes,60792,2010,Bowrider,PVC,"SERVICIOS NAUTICOS PLEAMAR SL
   ",26,"Moraira, Spain",Four Winns SL 262
1019,yes,yes,66995,2013,Bowrider,Fiberglass,"Basa's Marine
   ",26,"Bolingbrook, IL",Regal 2500 Bowrider
1020,yes,yes,126557,2016,Bowrider,Fiberglass,"Marine Power Menorca
   ",26,"Menorca, Spain",Four Winns H260
1021,yes,yes,120478,2016,Bowrider,Fiberglass,"Tot Nautic
   ",26,"Port d' Andratx, Spain",Four Winns H 260
1022,yes,yes,64900,2014,Bowrider,Fiberglass,"Strong's Marine
   ",26,"MATTITUCK, NY",Regal 2500 Bowrider
1023,yes,yes,Call for Price,2016,Bowrider,Fiberglass,"Beacon Marine LLC
   ",26,"Sister Bay, WI",Cobalt 26SD
1024,yes,yes,96731,2015,Bowrider,Fiberglass,"Bluewater Algarve
   ",26,Portugal,Crownline Eclipse E6
1025,yes,yes,41449,2016,Bowrider,Fiberglass,"Marina Benalmadena
   ",26,"MALAGA, Spain",Beneteau Flyer 8.8 Sun Deck
1026,yes,yes,95000,2013,Bowrider,Fiberglass,"Smart Yachts
   ",26,France,Cobalt 26SD
1027,yes,yes,1,2017,Bowrider,Fiberglass,"Stone Harbor Yacht Sales
   ",26,"Stone Harbor, NJ",Crownline Eclipse E6 XS
1028,yes,yes,Call for Price,2016,Bowrider,Fiberglass,"AM PM MARINE
   ",26,"Pasadena, MD",Regal 2500 Bowrider
1029,yes,yes,55995,2012,Bowrider,Fiberglass,"AM PM MARINE
   ",26,United States,Regal 2500 Bowrider
1030,yes,yes,42999,2004,Bowrider,Fiberglass,"Vesta Yachting
   ",26,Turkey,Sea Ray 260 Signature
1031,yes,yes,58900,2014,Bowrider,Fiberglass,"Strong's Marine
   ",26,United States,Regal 2500 Bowrider
1032,yes,yes,120337,2016,Bowrider,Fiberglass,"Clearwater Marine
   ",26,"Menorca, Spain",Scarab 255 HO Impulse Wake
1033,yes,yes,114749,2016,Bowrider,Fiberglass,"Tom George Yacht Group
   ",26,"Dunedin, FL",Cobalt 26SD
1034,yes,yes,68529,2011,Bowrider,Fiberglass,"Nautica Mengual
   ",26,"Costa Blanca, Spain",Four Winns H260
1035,yes,yes,37650,2011,Bowrider,Fiberglass,"Empire Point Boating Center
   ",26,"island park, NY",Rinker 246 Captiva Bowrider
1036,yes,yes,38000,2011,Bowrider,Fiberglass,"Modern Yachts
   ",26,"Mattituck, NY",Rinker 246 Captiva Bowrider
1037,yes,yes,37650,2011,Bowrider,Fiberglass,"Empire Point Boating Center
   ",26,"island park, NY",Rinker 246 Captiva Bowrider
1038,yes,yes,29995,2006,Bowrider,Fiberglass,"B.L.M. Yacht Sales Ltd.
   ",26,"Fall River-Raynham, MA",Crownline 270 BR
1039,yes,yes,92900,2015,Bowrider,Fiberglass,"Cape Regal Yachts & Ship
   ",26,"Port Charolotte, FL",Cobalt 26SD
1040,yes,yes,62900,2014,Bowrider,Fiberglass,"Krenzer Marine
   ",26,"Sodus Point, NY",Rinker Captiva 246 BR
1041,yes,yes,13900,2006,Bowrider,Fiberglass,"Savage Yachts, LLC.
   ",26,"Tampa, FL",Rinker 246 Captiva Bowrider
1042,yes,yes,Call for Price,2016,Bowrider,Fiberglass,"Boulder Boats
   ",26,"Henderson, NV",COBALT BOATS 26SD WSS
1043,yes,yes,Call for Price,2016,Bowrider,Fiberglass,"Tilly's Marine
   ",26,"Huntington Beach, CA",Chaparral 264 Sunesta
1044,yes,yes,18500,2005,Bowrider,Fiberglass,"Power Yachts International
   ",26,"Cape Coral, FL",2005 Chaperral Sunesta 236
1045,yes,yes,45577,2008,Bowrider,Fiberglass,"MarineMax Inc.
   ",26,"Rogers, MN",Chaparral 264 Sunesta
1046,yes,yes,19900,1997,Bowrider,Fiberglass,"MarineMax Inc.
   ",26,"Port Clinton, OH",Chaparral 260 Signature
1047,yes,yes,43900,2008,Bowrider,Fiberglass,"Great Southern Yacht Company
   ",26,"Panama City, FL",Chaparral 256 SSi
1048,yes,yes,61500,2011,Bowrider,Fiberglass,"Easy Sale
   ",26,"Miami, FL",Chaparral 264 Sunesta
1049,yes,yes,28700,2004,Bowrider,Fiberglass,"Lake Services Boat Brokerage
   ",26,"Lake Ozark, MO",Bennington Deck Boat RL251
1050,yes,yes,Call for Price,2016,Bowrider,Fiberglass,"Tilly's Marine
   ",26,"Norco, CA",Chaparral 264 Sunesta
1051,yes,yes,Call for Price,2016,Bowrider,Fiberglass,"Legendary Marine
   ",26,"Destin, FL",Chris-Craft Calypso 26
1052,yes,yes,Call for Price,2017,Bowrider,Fiberglass,"Harborside Marina
   ",26,"Clinton, CT",Chris-Craft Calypso 26
1053,yes,yes,66318,2009,Bowrider,Fiberglass,"Robert Christopher Yacht Sales
   ",26,"Sozopol, Bulgaria",Chaparral 264 Sunesta Xtreme
1054,yes,yes,17500,1999,Bowrider,Fiberglass,"MarineMax Inc.
   ",26,"Lake Hopatcong, NJ",Chris-Craft 260 SPORT DECK
1055,yes,yes,Call for Price,2016,Bowrider,Fiberglass,"Walker's Yacht Sales
   ",26,"Marco Island, FL",Chris Craft1 26 Calypso
1056,yes,yes,14000,1993,Bowrider,Fiberglass,"Mears Point Yacht Sales
   ",26,"Grasonville, MD",Bayliner Rendezvous Bay Cat
1057,yes,yes,17495,2001,Bowrider,Fiberglass,"Village Marina & Yacht Club
   ",26,United States,Bayliner Rendezvous 2659
1058,yes,yes,Call for Price,2017,Bowrider,Fiberglass,"Schrader Yacht Sales
   ",26,"Point Pleasant, NJ",Chris Craft Calypso
1059,yes,yes,89000,2015,Bowrider,Fiberglass,"Jupiter Pointe Boat Sales
   ",26,"Tequesta, FL",Chaparral Sunesta 264
1060,yes,yes,18925,2001,Bowrider,Fiberglass,"Georgian Harbour Yacht Sales Inc.
   ",26,"Lake Simcoe, ON",Chris Craft 262 Sundeck
1061,yes,yes,74900,2010,Bowrider,Fiberglass,"Captain's Choice of Pickwick
   ",26,"Pickwick Lake, TN, MS",Cobalt 262
1062,yes,yes,Call for Price,2016,Bowrider,Fiberglass,"Legendary Marine
   ",26,"Destin, FL",Chris-Craft Calypso 26
1063,yes,yes,54500,2002,Bowrider,Fiberglass,"Robert Christopher Yacht Sales
   ",26,"Rye, NY",Cobalt 262
1064,yes,yes,Call for Price,2016,Bowrider,Fiberglass,"Legendary Marine
   ",26,"Destin, FL",Chris-Craft Calypso 26
1065,yes,yes,114900,2015,Bowrider,Fiberglass,"Bond Boats Florida Yacht Brokers
   ",26,"Orlando, FL",Cobalt 26 SD WSS Bowrider
1066,yes,yes,Call for Price,2014,Bowrider,Fiberglass,"Marine Sales of Pickwick, LLC
   ",26,"Counce, TN",Cobalt 262
1067,yes,yes,74900,2012,Bowrider,Fiberglass,"Marine Sales of Pickwick, LLC
   ",26,"Counce, TN",Cobalt 26 SD Bowrider
1068,yes,yes,110000,2015,Bowrider,Fiberglass,"Schrader Yacht Sales
   ",26,"Point Pleasant, NJ",Chris-Craft Catalina 26
1069,yes,yes,Call for Price,2017,Bowrider,Fiberglass,"Viage Group
   ",26,"FL, United States",Chris-Craft Calypso 26
1070,yes,yes,Call for Price,2017,Bowrider,Fiberglass,"Dave Bofill Marine, Inc
   ",26,"Southampton, NY",Chris-Craft Calypso 26
1071,yes,yes,Call for Price,2014,Bowrider,Fiberglass,"Strong's Marine
   ",26,"NY, United States",Cobalt 26 SD
1072,yes,yes,39900,2003,Bowrider,Fiberglass,"Boat Brokers LKN
   ",26,"Cornelius, NC",Cobalt 262
1073,yes,yes,Call for Price,2016,Bowrider,Fiberglass,"Marine Sales of Pickwick, LLC
   ",26,"COUNCE, TN",Cobalt 26SD WSS
1074,yes,yes,Call for Price,2016,Bowrider,Fiberglass,"SBM Yacht Sales
   ",26,"Sarasota, FL",Cobalt 26SD
1075,yes,yes,79900,2013,Bowrider,Fiberglass,"Legendary Marine
   ",26,"Destin, FL",Cobalt 26SD
1076,yes,yes,Call for Price,2016,Bowrider,Fiberglass,"Marine Sales of Pickwick, LLC
   ",26,"COUNCE, TN",Cobalt 26SD
1077,yes,yes,89900,2015,Bowrider,Fiberglass,"Sundance Marine USA
   ",26,"Deerfield Beach, FL",Cobalt 26SD
1078,yes,yes,Call for Price,2016,Bowrider,Fiberglass,"Nunmaker Yachts
   ",26,"Madisonville, LA",Cobalt 26SD
1079,yes,yes,29995,2000,Bowrider,Fiberglass,"Village Marina & Yacht Club
   ",26,"Lake Ozark, MO",Cobalt 262
1080,yes,yes,103110,2014,Bowrider,Fiberglass,"Marine Sales of Pickwick, LLC
   ",26,"GILBERTSVILLE, KY",Cobalt 262 WSS
1081,yes,yes,Call for Price,2015,Bowrider,Fiberglass,"Marine Sales of Pickwick, LLC
   ",26,"Gilbertsville, KY",Cobalt 26SD
1082,yes,yes,80000,2015,Bowrider,Fiberglass,"Frank Gordon Yacht Sales
   ",26,"Boston, MA",Cobalt R5
1083,yes,yes,35900,2007,Bowrider,Fiberglass,"Ocean Blue Yacht Sales, LLC.
   ",26,"Stuart, FL",Crownline 262 EX
1084,yes,yes,26900,2004,Bowrider,Fiberglass,"Class Sea Yachts, Inc.
   ",26,"Cape Coral, FL",Crownline 260 EX
1085,yes,yes,79999,2011,Bowrider,Fiberglass,"MarineMax Inc.
   ",26,"Afton, OK",Crownline 260 CR
1086,yes,yes,34995,2006,Bowrider,Fiberglass,"American Marine & Boat Sales, Inc.
   ",26,"Salisbury, MA",Crownline 260 LS
1087,yes,yes,35000,2006,Bowrider,Fiberglass,"The Yacht Sales Company
   ",26,"League City, TX",Crownline 260 Bowrider
1088,yes,yes,Call for Price,2017,Bowrider,Fiberglass,"Stella Marine
   ",26,"Palm Beach Gardens, FL",Crownline E6 XS
1089,yes,yes,26710,2003,Bowrider,Fiberglass,"MarineMax Inc.
   ",26,"Lake Ozark, MO",Crownline 266 BR
1090,yes,yes,52900,2009,Bowrider,Fiberglass,"Sea Ray of Cincinnati
   ",26,"Cincinnati, OH",Ebbtide 2660 Z TRAK
1091,yes,yes,34995,2005,Bowrider,Fiberglass,"Sundance Marine USA
   ",26,"Fort Lauderdale, FL",Formula 260 Bow Rider
1092,yes,yes,34900,2000,Bowrider,Fiberglass,"Erwin Marine
   ",26,"Chattanooga, TN",Formula 260 Bowrider w/Trailer
1093,yes,yes,28900,2005,Bowrider,Fiberglass,"Global One Yacht Sales
   ",26,"Brielle, NJ",Formula 260 Bowrider
1094,yes,yes,32900,2003,Bowrider,Composite,"Power Yachts International
   ",26,"Cape coral, FL",Formula 260 Bowrider
1095,yes,yes,44750,2004,Bowrider,Fiberglass,"Schooner Yachts LLC
   ",26,"North Miami, FL",Formula 260 Bowrider
1096,yes,yes,52900,2007,Bowrider,Fiberglass,"South Shore Marine
   ",26,"Huron, OH",Formula 260 Bowrider
1097,yes,yes,34995,2007,Bowrider,Fiberglass,"Village Marina & Yacht Club
   ",26,United States,Four Winns 260
1098,yes,yes,49900,2011,Bowrider,Composite,"Power Yachts International
   ",26,"Cape coral, FL",Four Winns 260 Horizon
1099,yes,yes,Call for Price,2016,Bowrider,Fiberglass,"Hawk's Yachts
   ",26,"Edgewater, MD",Four Winns 260 Horizon
1100,yes,yes,29900,2004,Bowrider,Fiberglass,"Comstock Yacht Sales & Marina
   ",26,"Brick, NJ",Formula 260 Bowrider
1101,yes,yes,38500,2007,Bowrider,Fiberglass,"Danversport Marina
   ",26,"Danvers, MA",Four Winns 260 Horizon
1102,yes,yes,26995,2005,Bowrider,Fiberglass,"Village Marina & Yacht Club
   ",26,United States,Four Winns 264 FS
1103,yes,yes,24900,2006,Bowrider,Fiberglass,"Manatee Pocket Yacht Sales
   ",26,"Stuart, FL",Four Winns 260 Horizon
1104,yes,yes,24900,2007,Bowrider,Fiberglass,"Boat America
   ",26,"St. Petersburg, FL",Four Winns 260 Horizon
1105,yes,yes,37500,2006,Bowrider,Fiberglass,"SkipperBud's
   ",26,"Madison, WI",Four Winns 260 Horizon
1106,yes,yes,34500,2007,Bowrider,Fiberglass,"Yacht Brokers, Inc.
   ",26,"Palm Coast/Daytona, FL",Four Winns H260
1107,yes,yes,109425,2016,Bowrider,Fiberglass,"Tot Nautic
   ",26,"Port d'Andratx, Mallorca, Spain",Four Winns H260
1108,yes,yes,67500,2013,Bowrider,Fiberglass,"Sanibel Yacht & Slip
   ",26,"Ft Myers, FL",Four Winns H260
1109,yes,yes,65000,2009,Bowrider,Fiberglass,"Promarine Yacht Sales Pte Ltd
   ",26,Singapore,Four Winns H260
1110,yes,yes,1,2016,Bowrider,Fiberglass,"Westchester Yacht Sales
   ",26,"Mamaroneck, NY",Four Winns H260
1111,yes,yes,Call for Price,2015,Bowrider,Fiberglass,"Yarmouth Boat Yard, Inc.
   ",26,United States,Hurricane SD 2690 OB
1112,yes,yes,33500,2005,Bowrider,Fiberglass,"PIER ONE YACHT SALES
   ",26,"Punta Gorda, FL",Hurricane SunDeck OB  35 eng.hrs
1113,yes,yes,38550,2009,Bowrider,Fiberglass,"Tampa Yacht Sales, INC
   ",26,"Madeira Beach, FL",Four Winns H260
1114,yes,yes,36900,2004,Bowrider,Fiberglass,"Marine Group - Emerald Coast
   ",26,"Orange Beach, AL",Hurricane 260 SUNDECK
1115,yes,yes,57900,2016,Bowrider,Fiberglass,"Hideaway Yacht Sales
   ",26,United States,Hurricane 2600
1116,yes,yes,44904,2005,Bowrider,Fiberglass,"WORLDWIDE YACHT SALES INC.
   ",26,"Naples, FL",Godfrey Hurricane 26 SUNDECK TWIN 150 4 STROKE YAMAHAS
1117,yes,yes,Call for Price,2017,Bowrider,Fiberglass,"Hawk's Yachts
   ",26,"EDGEWATER - LIBERTY MARINA, MD",Four Winns H260SS
1118,yes,yes,21000,2005,Bowrider,Fiberglass,"Foster Yacht Sales
   ",26,"Edgewater, MD",Larson 268LXI
1119,yes,yes,Call for Price,2016,Bowrider,Fiberglass,"Boater's Landing
   ",26,"Fort Myers, FL",Four Winns H260
1120,yes,yes,59900,2003,Bowrider,Fiberglass,"MarineMax Inc.
   ",26,"Clearwater, FL",Hydra-Sports 260 CENTER CONSOLE VECTOR
1121,yes,yes,59990,2014,Bowrider,Fiberglass,"Nautical Ventures
   ",26,"Dania beach, FL",Monterey 264FS
1122,yes,yes,33000,2007,Bowrider,Fiberglass,"Robert Christopher Yacht Sales
   ",26,"JOSHUA, TX",Larson 268LXI
1123,yes,yes,Call for Price,2017,Bowrider,Fiberglass,"Pier 53 Marine
   ",26,"Port Clinton, OH",Monterey 264FS
1124,yes,yes,24435,2005,Bowrider,Fiberglass,"Dickies International Boat Sales
   ",26,"Gwynedd, United Kingdom",Maxum 2400 SD
1125,yes,yes,Call for Price,2016,Bowrider,Fiberglass,"Marine Sales of Pickwick, LLC
   ",26,"GILBERTSVILLE, KY",Mastercraft X26
1126,yes,yes,67500,2013,Bowrider,Fiberglass,"Bay Side Yacht Sales LLC
   ",26,"Eddyville, KY",Monterey 264FS
1127,yes,yes,Call for Price,2016,Bowrider,Fiberglass,"Marine Sales of Pickwick, LLC
   ",26,"COUNCE, TN",Mastercraft X26
1128,yes,yes,Call for Price,2016,Bowrider,Fiberglass,"Marine Sales & Service
   ",26,"Louisville, KY",Monterey 264 FS
1129,yes,yes,Call for Price,2017,Bowrider,Fiberglass,"Hampton Watercraft and Marine
   ",26,"NY, United States",Mastercraft X26
1130,yes,yes,53600,2014,Bowrider,Fiberglass,"Bob Hewes Boats at Arch Creek Marina
   ",26,"Miami Beach, FL",Monterey 264FS
1131,yes,yes,215360,2016,Bowrider,Fiberglass,"Hampton Watercraft and Marine
   ",26,"Westhampton Beach , NY",Mastercraft X26
1132,yes,yes,24900,2002,Bowrider,Fiberglass,"NI'O Group Inc
   ",26,"Madeira Beach, FL",Monterey 268 s Bowrider
1133,yes,yes,Call for Price,2017,Bowrider,Fiberglass,"Pier 53 Marine
   ",26,"Port Clinton, OH",Monterey M6
1134,yes,yes,Call for Price,2017,Bowrider,Fiberglass,"South Shore Marine
   ",26,"Huron, OH",Pursuit 265 Dual Console
1135,yes,yes,Call for Price,2017,Bowrider,Fiberglass,"Pier 53 Marine
   ",26,"Port Clinton, OH",Monterey 264FSX
1136,yes,yes,94900,2011,Bowrider,Fiberglass,"B.L.M. Yacht Sales Ltd.
   ",26,"Barnstable, MA",Pursuit 265 DC
1137,yes,yes,105900,2011,Bowrider,Fiberglass,"Strong's Marine
   ",26,"MATTITUCK, NY",Pursuit 265 DC
1138,yes,yes,Call for Price,2017,Bowrider,Fiberglass,"South Shore Marine
   ",26,"Huron, OH",Pursuit 265 Dual Console
1139,yes,yes,60182,2014,Bowrider,Fiberglass,"Marina Fortin
   ",26,"ST-PAUL-ILE-AUX-NOIX, QC",Monterey 268SS Bowrider
1140,yes,yes,Call for Price,2016,Bowrider,Fiberglass,"Ocean Blue Yacht Sales, LLC.
   ",26,"SE Florida, FL",Pursuit DC 265 Dual Console
1141,yes,yes,28900,2003,Bowrider,Fiberglass,"Manatee Pocket Yacht Sales
   ",26,"Stuart, FL",Monterey 268SS Sport Cruiser
1142,yes,yes,49900,2005,Bowrider,Fiberglass,"Brewer Yacht Sales
   ",26,"North Kingstown, RI",Pursuit 2670 Center Console
1143,yes,yes,119500,2013,Bowrider,Fiberglass,"SkipperBud's
   ",26,"Harrison Township, MI",Pursuit 265DC
1144,yes,yes,Call for Price,2016,Bowrider,Fiberglass,"Ocean Blue Yacht Sales, LLC.
   ",26,"SE Florida, FL",Pursuit DC 265 Dual Console
1145,yes,yes,129900,2014,Bowrider,Fiberglass,"South Shore Marine
   ",26,"Huron, OH",Pursuit 265 Dual Console
1146,yes,yes,Call for Price,2016,Bowrider,Fiberglass,"Walker's Yacht Sales
   ",26,"Fort Myers, FL",Pursuit 265 Dual Console Bowrider
1147,yes,yes,Call for Price,2016,Bowrider,Fiberglass,"Bluewater Yacht Sales, Inc.
   ",26,United States,Pursuit DC265
1148,yes,yes,Call for Price,2015,Bowrider,Fiberglass,"Easy Sale
   ",26,"Miami, FL",Rancraft RD 26 DECK
1149,yes,yes,129900,2015,Bowrider,Fiberglass,"South Shore Marine
   ",26,"Huron, OH",Pursuit 265 Dual Console
1150,yes,yes,29900,2007,Bowrider,Fiberglass,"Lowe's Boat & Yacht Brokerage
   ",26,"Marco Island, FL",Regal 2400 Bowrider
1151,yes,yes,27500,2003,Bowrider,Fiberglass,"Irish Boat Shop
   ",26,"Harbor Springs, MI",Regal 2600 LSR
1152,yes,yes,24997,2007,Bowrider,Fiberglass,"Cast Off Yacht Sales
   ",26,"Toms River, NJ",Rinker 262 Captiva Bowrider
1153,yes,yes,25997,2003,Bowrider,Fiberglass,"WORLDWIDE YACHT SALES INC.
   ",26,"Cape Coral, FL",Regal 2600 LSR
1154,yes,yes,31900,2005,Bowrider,Fiberglass,"Great Southern Yacht Company
   ",26,"PENSACOLA, FL",Rinker 262 Captiva Bowrider
1155,yes,yes,29900,2004,Bowrider,Fiberglass,"MarineMax Inc.
   ",26,"Port Clinton, OH",Regal 2600
1156,yes,yes,Call for Price,2017,Bowrider,Fiberglass,"Sheltered Cove Marina
   ",26,"Tuckerton, NJ",Regal 2500
1157,yes,yes,Call for Price,2016,Bowrider,Fiberglass,"Grand Bay Marine
   ",26,"Traverse City, MI",Regal 2500 Bowrider
1158,yes,yes,Call for Price,2017,Bowrider,Fiberglass,"Grand Bay Marine
   ",26,"Traverse City, MI",Regal 2500 RX
1159,yes,yes,19900,1997,Bowrider,Fiberglass,"Pickwick Yacht Brokers, LLC
   ",26,"Pickwick Lake, TN",Sea Ray 260 Bow Rider
1160,yes,yes,19900,1999,Bowrider,Fiberglass,"Carpe Diem Yacht Sales
   ",26,"Edgewater, MD",Rinker 266 Fiesta Vee
1161,yes,yes,24900,1997,Bowrider,Fiberglass,"Executive Boat & Yacht Brokerage
   ",26,"Salt Lake City, UT",Sea Ray 260 Bowrider
1162,yes,yes,69000,2010,Bowrider,Fiberglass,"Lake Union Sea Ray
   ",26,"Seattle, WA",Sea Ray 250 SLX
1163,yes,yes,59995,2012,Bowrider,Fiberglass,"Lowe's Boat & Yacht Brokerage
   ",26,"Naples, FL",Sea Ray 250 SLX Executive 8.2 DTS
1164,yes,yes,Call for Price,2017,Bowrider,Fiberglass,"Iguana Boat Sales
   ",26,"Osage Beach, MO",Rinker QX26
1165,yes,yes,19900,2000,Bowrider,Fiberglass,"White Lake Moorings
   ",26,"Holland Mi, MI",Sea Ray 260 Bow Rider
1166,yes,yes,Call for Price,2017,Bowrider,Fiberglass,"Iguana Boat Sales
   ",26,"Osage Beach, MO",Rinker QX26
1167,yes,yes,17900,1997,Bowrider,Fiberglass,"Seattle Boat Company
   ",26,"Bellevue, WA",Sea Ray 260
1168,yes,yes,53900,2013,Bowrider,Fiberglass,"MarineMax Inc.
   ",26,"Clearwater, FL",Sea Ray 260 Sundeck
1169,yes,yes,23900,1999,Bowrider,Fiberglass,"Saba Marine
   ",26,"Colchester, VT",Sea Ray 260 BR SIGNATURE SELECT
1170,yes,yes,39900,2010,Bowrider,Fiberglass,"COMPLETE MARINE
   ",26,"Pompano Beach, FL",Sea Ray 260 Sun Deck
1171,yes,yes,16900,2005,Bowrider,Fiberglass,"United Yacht Sales
   ",26,"Coconut Grove, FL",Sea Ray 240 Sundeck
1172,yes,yes,54500,2010,Bowrider,Fiberglass,"Knoxville Yacht Sales
   ",26,"Rutledge, TN",Sea Ray 260 Sundeck
1173,yes,yes,53500,2012,Bowrider,Fiberglass,"MarineMax Inc.
   ",26,"Huntington, NY",Sea Ray 260 Sundeck
1174,yes,yes,57900,2010,Bowrider,Fiberglass,"B.L.M. Yacht Sales Ltd.
   ",26,"East Providence, RI",Sea Ray 260 Sundeck
1175,yes,yes,55720,2012,Bowrider,Fiberglass,"MarineMax Inc.
   ",26,"Wrightsville Beach, NC",Sea Ray 260 Sundeck
1176,yes,yes,64900,2012,Bowrider,Fiberglass,"MarineMax Inc.
   ",26,"Seabrook, TX",Sea Ray 260 Sundeck
1177,yes,yes,69900,2013,Bowrider,Fiberglass,"Knot 10 Yacht Sales
   ",26,"Kent Island, MD",Sea Ray 260 Sundeck
1178,yes,yes,67900,2014,Bowrider,Fiberglass,"Prestige Yacht Sales, Inc.
   ",26,"Beach Haven, NJ",Sea Ray 260 Sundeck
1179,yes,yes,56592,2011,Bowrider,Fiberglass,"MarineMax Inc.
   ",26,"Clearwater, FL",Sea Ray 260 Sundeck
1180,yes,yes,48950,2011,Bowrider,Fiberglass,"Mare Blue Yacht Brokerage
   ",26,"Miami, FL",Sea Ray 260 Sundeck
1181,yes,yes,37950,2007,Bowrider,Fiberglass,"MarineMax Inc.
   ",26,"Venice, FL",Sea Ray 260 Sundeck
1182,yes,yes,39900,2008,Bowrider,Fiberglass,"American Marine
   ",26,"Venice, FL",Sea Ray 260 Sundeck
1183,yes,yes,44900,2010,Bowrider,Fiberglass,"MarineMax Inc.
   ",26,"Sarasota, FL",Sea Ray 260 Sundeck
1184,yes,yes,46500,2008,Bowrider,Fiberglass,"MarineMax Inc.
   ",26,"Port Clinton, OH",Sea Ray 260 Sundeck
1185,yes,yes,39000,2007,Bowrider,Fiberglass,"MarineMax Inc.
   ",26,"Huntington, NY",Sea Ray 260 Sundeck
1186,yes,yes,48500,2011,Bowrider,Fiberglass,"Sanibel Yacht & Slip
   ",26,"Shalimar, FL",Sea Ray 260 Sundeck
1187,yes,yes,47900,2012,Bowrider,Fiberglass,"COMPLETE MARINE
   ",26,"Pompano Beach, FL",Sea Ray 260 Sundeck
1188,yes,yes,48900,2010,Bowrider,Fiberglass,"Marina Delray Yacht Sales
   ",26,"DELRAY BEACH, FL",Sea Ray 260 Sundeck
1189,yes,yes,39995,2007,Bowrider,Fiberglass,"MarineMax Inc.
   ",26,"Lake Hopatcong, NJ",Sea Ray 260 Sundeck
1190,yes,yes,37500,2007,Bowrider,Fiberglass,"MarineMax Inc.
   ",26,"Somers Point, NJ",Sea Ray 260 Sundeck
1191,yes,yes,25717,2004,Bowrider,Fiberglass,"Parkstone Bay Yachts
   ",26,"Poole, Dorset, United Kingdom",searay 240 Sundeck
1192,yes,yes,29800,2007,Bowrider,Fiberglass,"Westchester Yacht Sales
   ",26,"St. James, NY",Sea Ray 260 Sundeck
1193,yes,yes,64900,2013,Bowrider,Fiberglass,"Norwood Yacht Sales
   ",26,"Danvers, MA",Sea Ray Sundeck 260 Bow Rider
1194,yes,yes,37900,2008,Bowrider,Fiberglass,"United Yacht Sales
   ",26,"St. Pete, FL",Sea Ray SunDeck
1195,yes,yes,30750,2008,Bowrider,Fiberglass,"Exclusive Yacht Group
   ",26,"Riviera Beach, FL",Sea Ray 260 Sundeck
1196,yes,yes,34900,2007,Bowrider,Fiberglass,"Lowe's Boat & Yacht Brokerage
   ",26,"Naples, FL",Sea Ray 260 Sundeck
1197,yes,yes,34999,2007,Bowrider,Fiberglass,"Denison Yacht Sales
   ",26,"Daytona Beach , FL",Sea Ray 260 Sundeck
1198,yes,yes,61070,2016,Bowrider,Fiberglass,"Green Cove Marina
   ",26,"Brick, NJ",SouthWind 2600 SD
1199,yes,yes,Call for Price,2010,Bowrider,Fiberglass,"Wajer & Wajer Yachts BV
   ",26,"Loosdrecht, Netherlands",Wajer Launch 8m
1200,yes,yes,36738,2011,Bowrider,Fiberglass,"Parkstone Bay Yachts
   ",26,"Poole, Dorset, United Kingdom",searay 260 Sundeck
1201,yes,yes,37500,2008,Bowrider,Fiberglass,"Nunmaker Yachts
   ",26,United States,Sea Ray SunDeck
1202,yes,yes,49628,2008,Bowrider,Fiberglass,"Tot Nautic
   ",26,"Andratx, Spain",Sea Ray 250 SLX
1203,yes,yes,68529,2012,Bowrider,Fiberglass,"Nautica Mengual
   ",26,"Costa Blanca, Spain",Four Winns H260
1204,yes,yes,29995,2002,Bowrider,Fiberglass,"Yacht Brokers, Inc.
   ",26,"Stillwater, MN",Wellcraft Excalibur Sport
1205,yes,yes,Call for Price,2016,Bowrider,Fiberglass,"East Coast Yacht Sales
   ",26,"Newport, RI",Vanquish Boats 26 Dual Console
1206,yes,yes,Call for Price,2016,Bowrider,Fiberglass,"Annapolis Yacht Sales
   ",26,"Annapolis, MD",VANQUISH 26 Dual Console
1207,yes,yes,62500,2011,Bowrider,Fiberglass,"Boat Brokers LKN
   ",26,"Mooresville, NC",Cobalt 242
