index,used,power,price_US$,year,class,hull_material,seller,Length_ft,location,Make_Model
3819,yes,yes,19900,2007,Bowrider,Fiberglass,"YACHT WORKS, INC.
   ",19,"Sister Bay, WI",Four Winns 190 Horizon
3820,yes,yes,15469,2007,Bowrider,Fiberglass,"Boats & Barcos Mediterr��neos SL
   ",19,Spain,Doral 190 Sunquest
3821,yes,yes,13700,2003,Bowrider,Fiberglass,"Hall Marine Group
   ",19,United States,Sea Ray 185 Sport
3822,yes,yes,9186,2002,Bowrider,Fiberglass,"Bates Wharf
   ",18,"Chertsey, Surrey, United Kingdom",Rinker 180
3823,yes,yes,6900,1998,Bowrider,Fiberglass,"Aquarius Boat Sales
   ",19,"Brick, NJ",Sea Ray 185 Bow Rider
3824,yes,yes,18495,2012,Bowrider,Fiberglass,"Great Bay Marine- Islip Terrace
   ",18,"Islip Terrace, NY",Glastron MX 185
3825,yes,yes,18790,2005,Bowrider,Fiberglass,"Yachts Bank
   ",18,"Matar�_, Spain",RIO 550 Sol
3826,yes,yes,25786,2015,Bowrider,Fiberglass,"Asia Yachting
   ",19,"Hong Kong , Hong Kong",Monterey 186MS
3827,yes,yes,9750,2003,Bowrider,Fiberglass,"Ocean Beach Marine Centers
   ",19,"Lavallette, NJ",Seaswirl 190 Bowrider I/O
3828,yes,yes,12900,2005,Bowrider,Fiberglass,"E Yachting
   ",19,"Gloucester, VA",Sea Ray 185 Sport
3829,yes,yes,22900,2011,Bowrider,Fiberglass,"Grand Bay Marine
   ",18,"Traverse City, MI",Stingray 185 LS/LX
3830,yes,yes,28995,2013,Bowrider,Fiberglass,"USA Marine
   ",19,"Worcester, MA",Reinell 185 LS
3831,yes,yes,7750,1999,Bowrider,Fiberglass,"USA Marine
   ",18,"Worcester, MA",Bayliner 1850 Capri LS
3832,yes,yes,10899,1998,Bowrider,Fiberglass,"Network Yacht Brokers
   ",18,"PWLLHELI, Gwynedd, United Kingdom",Chaparral 1830 SS Ltd Edition
3833,yes,yes,18311,2009,Bowrider,Fiberglass,"South West Yacht Brokers Group
   ",18,"Plymouth, Devon, United Kingdom",Crownline 185 SS
3834,yes,yes,25365,2017,Bowrider,Fiberglass,"Sunrise Marine - Boat Sales, Service & Parts
   ",18,"Mary Esther, FL",Chaparral 18 H20 Sport Bowrider
3835,yes,yes,7381,1995,Bowrider,Fiberglass,"Ensign Ship Brokers
   ",18,"Sydney, stateprovince.NSW, Australia",Sea Ray 180 Bowrider
3836,yes,yes,12995,2005,Bowrider,Fiberglass,"North Bay Marina
   ",18,"Selbyville, DE",Chaparral 190 SSi
3837,yes,yes,8900,2005,Bowrider,Fiberglass,"Pennybridge Marine
   ",18,"Stony Point, NY",Chaparral 180 SSi
3838,yes,yes,11053,2003,Bowrider,Fiberglass,"J Olivares Yacht Broker
   ",18,Spain,Bayliner 185 Bowrider
3839,yes,yes,26939,2012,Bowrider,Fiberglass,"Idealboat Sales
   ",18,United Kingdom,Chaparral 18 H2O Sport
3840,yes,yes,22900,2013,Bowrider,Fiberglass,"The Nautic Group
   ",18,"Kemah, TX",Chaparral 18 Sport H2O
